source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,0,False,False,True,finish_wrong,21,,d1 + d2 + d3 = total_distance,0.9048,0.6667,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,1,True,True,True,finish_success,53,53.0,total_distance = d1 + d2 + d3,0.9057,0.8679,1.0,0.018868,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,2,True,True,True,finish_success,10,10.0,total_distance = d1 + d2 + d3,0.8,0.5,0.8889,0.1,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,3,False,False,False,max_steps,100,,,0.95,0.94,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,4,False,False,True,finish_wrong,77,,total_distance = 160 + 2*d1 + 2*d2 + 2*d3,0.9221,0.9091,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,5,False,False,True,finish_wrong,32,,total_distance = k(d1 + d2 + d3),0.5312,0.6875,0.5484,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,6,True,True,True,finish_success,51,51.0,total_distance = d1 + d2 + d3,0.8627,0.8627,1.0,0.019608,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,7,False,False,True,finish_wrong,21,,total_distance = 2 * (d1 + d2 + d3),0.5238,0.5238,0.7,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,8,False,False,True,finish_wrong,32,,total_distance = d2 + d3,0.8438,0.7812,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,9,True,True,True,finish_success,8,8.0,total_distance = d1 + d2 + d3,0.375,0.125,0.8571,0.125,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,10,False,False,False,max_steps,100,,,0.98,0.96,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,11,True,True,True,finish_success,12,12.0,total_distance = d1 + d2 + d3,0.5833,0.3333,0.7273,0.083333,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,12,False,False,True,finish_wrong,35,,total_distance = 100.0,0.1143,0.7143,0.1176,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,13,True,True,True,finish_success,34,34.0,total_distance = d1 + d2 + d3,0.0588,0.7353,0.0606,0.029412,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,14,True,True,True,finish_success,87,87.0,total_distance = d1 + d2 + d3,0.931,0.931,1.0,0.011494,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,15,True,True,True,finish_success,27,27.0,total_distance = d1 + d2 + d3,0.8889,0.7407,1.0,0.037037,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,16,False,False,True,finish_wrong,87,,d1 + d2 + d3 = total_distance,0.931,0.9195,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,17,True,True,True,finish_success,9,9.0,total_distance = d1 + d2 + d3,0.8889,0.5556,1.0,0.111111,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,18,False,False,True,finish_wrong,96,,total_distance = d1 + 390.0,0.9583,0.9271,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,19,False,False,True,finish_wrong,91,,total_distance = 10*d1 + 10*d2 + 10*d3,0.7473,0.9231,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,20,True,True,True,finish_success,28,28.0,total_distance = d1 + d2 + d3,0.9643,0.7857,1.0,0.035714,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,21,True,True,True,finish_success,24,24.0,total_distance = d1 + d2 + d3,0.875,0.7083,1.0,0.041667,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,22,False,False,True,finish_wrong,38,,d1 + d2 = total_distance,0.7895,0.7632,0.8919,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,23,True,True,True,finish_success,21,21.0,d1 + d2 + d3,0.7619,0.6667,1.0,0.047619,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,24,True,True,True,finish_success,13,13.0,total_distance = d1 + d2 + d3,0.3077,0.3077,0.3333,0.076923,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,25,False,False,True,finish_wrong,93,,total_distance = 10*d1 + 10*d2 - 50*d3,0.9032,0.9247,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,26,True,True,True,finish_success,55,55.0,total_distance = d1 + d2 + d3,0.1636,0.8182,0.1667,0.018182,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,27,True,True,True,finish_success,22,22.0,total_distance = d1 + d2 + d3,0.7727,0.6818,1.0,0.045455,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,28,True,True,True,finish_success,13,13.0,total_distance = d1 + d2 + d3,0.8462,0.6154,1.0,0.076923,
leyao-li-epfl/scientific-exploration/run-kxz13i70-episodes:v0,run-kxz13i70-episodes,v0,29,False,False,True,finish_wrong,80,,total_distance = 0.5 * d1 + 0.25 * d2 + 0.25 * d3,0.95,0.9125,1.0,0.0,
