source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,0,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,1,False,False,True,finish_wrong,12,,m = ρ * V * k,0.5,0.6667,0.7273,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,2,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,3,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,4,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,5,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,6,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,7,False,False,True,finish_wrong,5,,m = 12 * rho * V,0.8,0.2,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,8,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,9,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,10,False,False,True,finish_wrong,5,,m = k * V,0.8,0.2,0.5,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,11,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,12,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,13,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,14,False,False,True,finish_wrong,5,,m = 8 * rho * V * k,0.8,0.2,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,15,False,False,True,finish_wrong,5,,m = 5 * (3.0 * 20.0 / 6),0.8,0.2,0.5,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,16,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,17,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,18,False,False,True,finish_wrong,6,,m = 60 * (rho + k + V),0.8333,0.3333,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,19,False,False,True,finish_wrong,6,,m = 4.0 * 20.0 / 1.0,0.8333,0.1667,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,20,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,21,False,False,True,finish_wrong,9,,m = (rho + V + k) * constant,0.8889,0.5556,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,22,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,23,False,False,True,finish_wrong,7,,m = (V * rho) / k,0.7143,0.2857,0.6667,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,24,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,25,False,False,True,finish_wrong,7,,m = 90 * V * (k / 60),0.5714,0.2857,0.6667,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,26,False,False,True,finish_wrong,8,,m = 5 * V,0.875,0.5,0.2857,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,27,True,True,True,finish_success,5,5.0,m = rho * V * k,0.8,0.2,0.5,0.2,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,28,False,False,True,finish_wrong,1,,m = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-f2mdqxp3-episodes:v0,run-f2mdqxp3-episodes,v0,29,False,False,True,finish_wrong,5,,m = 60 * V,0.8,0.4,0.0,0.0,
