source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,0,True,True,True,finish_success,6,6.0,Y2 = A * B * C,0.8333,0.1667,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,1,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,2,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,3,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,4,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,5,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,6,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,7,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,8,True,True,True,finish_success,10,10.0,Y2 = A * B * C,0.9,0.6,0.0,0.1,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,9,True,True,True,finish_success,6,6.0,Y2 = A * B * C,0.8333,0.0,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,10,True,True,True,finish_success,5,5.0,Y2 = A * B * C,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,11,False,False,True,finish_wrong,6,,Y2 = A * B,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,12,True,True,True,finish_success,6,6.0,Y2 = A * B * C,0.8333,0.1667,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,13,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,14,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,15,True,True,True,finish_success,5,5.0,Y2 = A * B * C,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,16,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,17,True,True,True,finish_success,5,5.0,Y2 = A * B * C,0.8,0.0,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-tj5euepu-episodes:v0,run-tj5euepu-episodes,v0,18,True,True,True,finish_success,7,7.0,Y2 = A * B * C,0.7143,0.2857,0.0,0.142857,
