source,task,modality,prompt_condition,condition,model,step_type,raw_action_type,raw_variable,clean_action_type,clean_variable,aligned_action,is_valid_action,invalid_reason,count
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,111
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,29
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,12
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,action,increase,concentration,increase,concentration,increase_concentration,True,,10
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,finish,,,,,finish,True,,9
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,5
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_3b,action,increase,path_length,increase,path_length,increase_path_length,True,,5
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,26
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,action,increase,concentration,increase,concentration,increase_concentration,True,,23
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,12
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,12
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,finish,,,,,finish,True,,10
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,action,increase,path_length,increase,path_length,increase_path_length,True,,7
model,beers_wavelength,chart_only,normal,chart_only_normal,qwen25_vl_7b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,4
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,22
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,18
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,13
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,finish,,,,,finish,True,,10
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,3
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,action,increase,concentration,increase,concentration,increase_concentration,True,,3
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,action,increase,path_length,increase,path_length,increase_path_length,True,,1
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,increase,concentration,increase,concentration,increase_concentration,True,,11
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,finish,,,,,finish,True,,10
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,8
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,increase,path_length,increase,path_length,increase_path_length,True,,4
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,3
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,3
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,2
model,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,action,increase,orange,increase,orange,,False,invalid_variable:orange,1
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,159
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,action,increase,concentration,increase,concentration,increase_concentration,True,,24
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,10
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,finish,,,,,finish,True,,9
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,action,increase,path_length,increase,path_length,increase_path_length,True,,7
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,1
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_3b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,1
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,49
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,action,increase,path_length,increase,path_length,increase_path_length,True,,26
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,action,increase,concentration,increase,concentration,increase_concentration,True,,19
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,11
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,finish,,,,,finish,True,,10
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,4
model,beers_wavelength,simulation_only,normal,simulation_only_normal,qwen25_vl_7b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,3
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,16
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,action,increase,path_length,increase,path_length,increase_path_length,True,,10
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,finish,,,,,finish,True,,10
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,9
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,action,increase,concentration,increase,concentration,increase_concentration,True,,9
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,4
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_4b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,1
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,38
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,18
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,action,increase,concentration,increase,concentration,increase_concentration,True,,12
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,action,increase,path_length,increase,path_length,increase_path_length,True,,10
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,finish,,,,,finish,True,,10
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,2
model,beers_wavelength,text_only,normal,text_only_normal,qwen35_9b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,2
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,16
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,action,decrease,path_length,decrease,path_length,decrease_path_length,True,,15
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,action,increase,concentration,increase,concentration,increase_concentration,True,,13
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,action,increase,path_length,increase,path_length,increase_path_length,True,,13
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,action,decrease,wavelength,decrease,wavelength,decrease_wavelength,True,,11
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,finish,,,,,finish,True,,10
model,beers_wavelength,text_only,student,text_only_student,qwen35_4b,action,decrease,concentration,decrease,concentration,decrease_concentration,True,,9
model,beers_wavelength,text_only,student,text_only_student,qwen35_9b,action,increase,wavelength,increase,wavelength,increase_wavelength,True,,21
