source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,0,False,False,True,finish_wrong,3,,Y = 90 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,1,True,True,True,finish_success,4,4.0,Y = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,2,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,3,False,False,True,finish_wrong,4,,Y = 60 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,4,False,False,True,finish_wrong,3,,Y = 3 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,5,False,False,True,finish_wrong,4,,Y = A * B - C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,6,True,True,True,finish_success,4,4.0,Y = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,7,False,False,True,finish_wrong,6,,Y = 120 * B * C,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,8,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,9,True,True,True,finish_success,4,4.0,Y = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,10,False,False,True,finish_wrong,4,,Y = 15 * A,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,11,False,False,True,finish_wrong,5,,Y = 12 * B,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,12,False,False,True,finish_wrong,4,,Y = 3 * 20 * 4,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,13,False,False,True,finish_wrong,4,,Y = 60 * B,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,14,False,False,True,finish_wrong,4,,Y = (A * B) / C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,15,False,False,True,finish_wrong,5,,Y = A + B + C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,16,True,True,True,finish_success,4,4.0,Y = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,17,False,False,True,finish_wrong,5,,Y = 15 * B * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,18,False,False,True,finish_wrong,4,,Y = 60 * A * B,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,19,True,True,True,finish_success,5,5.0,Y = A * B * C,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-21w47h5a-episodes:v0,run-21w47h5a-episodes,v0,20,True,True,True,finish_success,4,4.0,Y = A * B * C,0.75,0.0,0.0,0.25,
