source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,0,True,True,True,finish_success,2,2.0,total_distance = d1 + d2 + d3,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,1,True,True,True,finish_success,1,1.0,total_distance = d1 + d2 + d3,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,2,True,True,True,finish_success,2,2.0,total_distance = d1 + d2 + d3,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,3,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,4,True,True,True,finish_success,1,1.0,total_distance = d1 + d2 + d3,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,5,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,6,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,7,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,8,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,9,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-ixfsdj4q-episodes:v0,run-ixfsdj4q-episodes,v0,10,True,True,True,finish_success,2,2.0,total_distance = d1 + d2 + d3,0.5,0.0,1.0,0.5,
