source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,0,False,False,True,finish_wrong,4,,V = 30.0 * I,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,1,False,False,True,finish_wrong,12,,V = 3 * R,0.9167,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,2,False,False,True,finish_wrong,4,,V = 3 * R,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,3,False,False,True,finish_wrong,5,,V = 2 * I * R,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,4,False,False,True,finish_wrong,6,,V = -R,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,5,False,False,True,finish_wrong,6,,V = (R * I) / 3,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,6,True,True,True,finish_success,4,4.0,V = I * R,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,7,False,False,True,finish_wrong,6,,V = 20 * I,0.5,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,8,False,False,True,finish_wrong,5,,V = 10 * I,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,9,True,True,True,finish_success,6,6.0,V = I * R,0.8333,0.5,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,10,False,False,True,finish_wrong,8,,V = 20 * R,0.5,0.375,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,11,False,False,True,finish_wrong,4,,V = -I,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,12,False,False,True,finish_wrong,5,,V = 5 * I + 0 * R,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,13,True,True,True,finish_success,5,5.0,V = I * R,0.8,0.4,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,14,False,False,True,finish_wrong,4,,V = 3 * R,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,15,False,False,True,finish_wrong,5,,V = 4 * I * R,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,16,False,False,True,finish_wrong,5,,V = 100 + 5 * I,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,17,False,False,True,finish_wrong,4,,V = 20 * R,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,18,False,False,True,finish_wrong,4,,V = 30 * R,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,19,False,False,True,finish_wrong,5,,V = 10 * I,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,20,False,False,True,finish_wrong,5,,V = 12 * I,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,21,False,False,True,finish_wrong,5,,V = 5.0 * I,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,22,False,False,True,finish_wrong,5,,V = 2 * R,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,23,True,True,True,finish_success,5,5.0,V = I * R,0.8,0.4,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,24,True,True,True,finish_success,9,9.0,V = I * R,0.6667,0.5556,0.0,0.111111,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,25,False,False,True,finish_wrong,5,,V = 20 * I,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,26,False,False,True,finish_wrong,3,,V = 2 * R,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,27,False,False,True,finish_wrong,4,,V = 4 * R,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,28,True,True,True,finish_success,9,9.0,V = I * R,0.5556,0.4444,0.0,0.111111,
leyao-li-epfl/scientific-exploration/run-35sb8bzr-episodes:v0,run-35sb8bzr-episodes,v0,29,False,False,True,finish_wrong,6,,V = 4 * R,0.6667,0.3333,0.0,0.0,
