source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,0,True,True,True,finish_success,2,2.0,x = v * t + x0,0.5,0.0,0.0,0.5,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,1,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,2,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,3,True,True,True,finish_success,3,3.0,x = x0 + v * t,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,4,True,True,True,finish_success,4,4.0,x = x0 + v * t,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,5,True,True,True,finish_success,3,3.0,x = v * t + x0,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,6,True,True,True,finish_success,4,4.0,x = x0 + v*t,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,7,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,8,False,False,True,finish_wrong,4,,x = v * t,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,9,True,True,True,finish_success,4,4.0,x = x0 + v*t,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,10,True,True,True,finish_success,3,3.0,x = x0 + v * t,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,11,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,12,True,True,True,finish_success,4,4.0,x = x0 + v * t,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,13,True,True,True,finish_success,4,4.0,x = v * t + x0,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,14,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,15,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,16,False,False,True,finish_wrong,3,,x = v * t,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,17,True,True,True,finish_success,3,3.0,x = x0 + v * t,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,18,True,True,True,finish_success,4,4.0,x = v * t + x0,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kqpwvshz-episodes:v0,run-kqpwvshz-episodes,v0,19,False,False,True,finish_wrong,4,,x = v * t,0.75,0.25,0.0,0.0,
