source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,0,False,False,True,finish_wrong,3,,Y = 10A + 5B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,1,False,False,True,finish_wrong,4,,Y = 3 * B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,2,False,False,True,finish_wrong,6,,Y = 10 * A + 10 * B,0.5,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,3,False,False,True,finish_wrong,3,,Y = 6 * A * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,4,False,False,True,finish_wrong,3,,Y = 3 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,5,False,False,True,finish_wrong,3,,Y = 10.0 * A + 0.0 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,6,False,False,True,finish_wrong,3,,Y = 3B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,7,False,False,True,finish_wrong,3,,Y = 4 * A * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,8,True,True,True,finish_success,3,3.0,Y = A * B,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,9,False,False,True,finish_wrong,3,,Y = 2AB,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-piwf14pj-episodes:v0,run-piwf14pj-episodes,v0,10,False,False,True,finish_wrong,3,,Y = 4 * A + 12 * B,0.6667,0.0,0.0,0.0,
