source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,0,False,False,True,finish_wrong,5,,Y = 3A + 20^2B + 5C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,1,False,False,True,finish_wrong,1,,Y = 2.0 * 10.0 + 3.0^2,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,2,False,False,True,finish_wrong,7,,Y = 30 * A * B * C,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,3,False,False,True,finish_wrong,1,,Y = (A + B) * C,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,4,False,False,True,finish_wrong,4,,Y = k * A * B / C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,5,False,False,True,finish_wrong,3,,Y = 9.0 * A * B / C,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,6,False,False,True,finish_wrong,3,,Y = k * (A * B) / C,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,7,False,False,True,finish_wrong,1,,Y = k * A * B * C,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,8,False,False,True,finish_wrong,1,,Y = 2A + 10B + 3C,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,9,False,False,True,finish_wrong,5,,Y = 3 * A * B,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,10,False,False,True,finish_wrong,2,,Y = A * B + C,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,11,False,False,True,finish_wrong,1,,Y = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,12,False,False,True,finish_wrong,5,,Y = 40 * C,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,13,False,False,True,finish_wrong,5,,Y = 800 * A * B * C,0.8,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,14,False,False,True,finish_wrong,4,,Y = 3 * 20 * 4,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,15,False,False,True,finish_wrong,5,,Y = k * A * B * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,16,False,False,True,finish_wrong,6,,Y = k * A * B / C,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,17,False,False,True,finish_wrong,4,,Y = 60 * B + 120 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,18,False,False,True,finish_wrong,1,,Y = AB + C,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ad0uurhz-episodes:v0,run-ad0uurhz-episodes,v0,19,False,False,True,finish_wrong,1,,Y = (A + B) * C,1.0,0.0,0.0,0.0,
