source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,0,False,False,True,finish_wrong,24,,mass = density * volume,0.1667,0.6667,0.1739,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,1,True,True,True,finish_success,10,10.0,mass = k * density * volume,0.5,0.3,1.0,0.1,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,2,True,True,True,finish_success,13,13.0,mass = k * density * volume,0.6154,0.2308,0.6667,0.076923,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,3,False,False,True,finish_wrong,10,,mass = density * volume,0.6,0.3,0.7778,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,4,False,False,True,finish_wrong,20,,mass = density * volume,0.4,0.55,0.4737,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,5,True,True,True,finish_success,11,11.0,mass = density * volume * k,0.7273,0.3636,1.0,0.090909,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,6,True,True,True,finish_success,41,41.0,mass = k * density * volume,0.122,0.7317,0.125,0.02439,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,7,True,True,True,finish_success,11,11.0,mass = k * density * volume,0.9091,0.5455,1.0,0.090909,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,8,False,False,True,finish_wrong,13,,mass = density * volume,0.4615,0.5385,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,9,True,True,True,finish_success,9,9.0,mass = k * density * volume,0.6667,0.2222,1.0,0.111111,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,10,False,False,True,finish_wrong,19,,mass = density * volume,0.2105,0.4737,0.2222,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,11,True,True,True,finish_success,15,15.0,mass = k * density * volume,0.5333,0.4,0.5714,0.066667,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,12,False,False,True,finish_wrong,55,,mass = density * volume,0.3091,0.8182,0.3519,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,13,False,False,True,finish_wrong,19,,mass = density * volume,0.7895,0.6842,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,14,True,True,True,finish_success,44,44.0,mass = k * density * volume,0.0682,0.7955,0.0698,0.022727,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,15,False,False,False,max_steps,100,,,0.03,0.91,0.04,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,16,False,False,True,finish_wrong,8,,mass = density * volume,0.375,0.0,0.4286,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,17,False,False,False,max_steps,100,,,0.04,0.91,0.04,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,18,False,False,False,parse_error,7,,,0.5714,0.1429,1.0,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,19,False,False,False,parse_error,6,,,0.5,0.3333,1.0,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,20,True,True,True,finish_success,17,17.0,mass = k * density * volume,0.7647,0.6471,1.0,0.058824,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,21,True,True,True,finish_success,27,27.0,mass = k * volume * density,0.2593,0.6667,0.6154,0.037037,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,22,True,True,True,finish_success,70,70.0,mass = k * volume * density,0.0857,0.8571,0.087,0.014286,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,23,True,True,True,finish_success,10,10.0,mass = k * density * volume,0.7,0.3,1.0,0.1,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,24,False,False,True,finish_wrong,39,,mass = density * volume,0.1026,0.7179,0.1316,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,25,True,True,True,finish_success,15,15.0,mass = k * volume * density,0.2667,0.4,0.2857,0.066667,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,26,True,True,True,finish_success,9,9.0,mass = k * density * volume,0.5556,0.3333,0.625,0.111111,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,27,False,False,True,finish_wrong,51,,mass = k * 60,0.1765,0.8039,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,28,True,True,True,finish_success,13,13.0,mass = k * density * volume,0.8462,0.6154,1.0,0.076923,
leyao-li-epfl/scientific-exploration/run-ccxr4m4k-episodes:v0,run-ccxr4m4k-episodes,v0,29,True,True,True,finish_success,25,25.0,mass = density * volume * k,0.16,0.6,0.1667,0.04,
