"case_id","source_dir","modality","formula","setup","model","run_name","episode_path","failed_step","parse_error_message","raw_output_available","raw_output_len","cleaned_output_available","cleaned_output_len","image_paths_available","has_image_error","image_error_count","final_equation","finish_reached","forced_finish","diagnosed_error_type","notes"
"1","wandb_downloads_image_only","Simulation-only","kinematics","abstract","model_qwen25_vl_3b","image_only_kinematics_abstract_model_qwen25_vl_3b","wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_3b-03_latest","3","[json_decode] model output is not valid JSON (error: Expecting ',' delimiter at pos 195): '{\\n  ""reasoning"": ""Observing the bar chart, it appears that the height of the orange bar (Y) is consistently higher than the blue bars (A and B), suggesting a direct proportional relationship.""\\n  ""step_type","True","302","False","0","True","False","0","","False","False","missing_comma","Model omitted comma between JSON fields (e.g. after 'reasoning' value). Not fixable by _repair(). Relies on max_parse_retries for re-generation. [Old-style log: only ~302-char snippet from parse_error field.]"
"2","wandb_downloads_image_only","Simulation-only","beers","abbrev","model_qwen25_vl_3b","image_only_beers_abbrev_model_qwen25_vl_3b","wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abbrev_model_qwen25_vl_3b-04_latest","2","finish step must provide either final_equation (formula_discovery) or finish_reason (student_simulation)","False","0","False","0","True","False","0","","False","False","finish_schema_error","Model emitted step_type='finish' but provided neither final_equation nor finish_reason. Relies on max_parse_retries for re-generation. [Old-style log: no raw output preserved.]"
"3","wandb_downloads_image_only","Simulation-only","kinematics","abbrev","model_qwen25_vl_7b","image_only_kinematics_abbrev_model_qwen25_vl_7b","wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_7b-00_latest","0","[json_decode] model output is not valid JSON (error: Invalid \escape at pos 64): '{\\n  ""reasoning"": ""The orange bar represents the target variable \\( x \\), while the blue bars represent input variables \\( x_0 \\) and \\( v \\). The height of the orange bar is significantly higher than both blue ","True","310","False","0","True","False","0","","False","False","latex_backslash_escape","Model used LaTeX notation in JSON string (e.g. \<LaTeX>). Fixed by _repair() invalid-escape step (post-fix). Prompt rule 'no LaTeX' also added. [Old-style log: only ~310-char snippet from parse_error field.]"
"4","wandb_downloads_text_image_chart_only_action_text","Text+image","beers","concrete","model_qwen25_vl_3b","chart_only_beers_concrete_model_qwen25_vl_3b","wandb_downloads_text_image_chart_only_action_text/scientific-exploration-increase-text-image-chart-only-action-text/artifacts/episode-chart_only_beers_concrete_model_qwen25_vl_3b-09_latest","11","[schema] 'action.variable' is required when action is provided","False","0","False","0","True","False","0","","False","False","action_schema_error","Model emitted an action object without the required 'variable' field. [Old-style log: no raw output preserved.]"
"5","wandb_downloads_text_image_chart_only_action_text","Text+image","ohm","abstract","model_qwen25_vl_3b","chart_only_ohm_abstract_model_qwen25_vl_3b","wandb_downloads_text_image_chart_only_action_text/scientific-exploration-increase-text-image-chart-only-action-text/artifacts/episode-chart_only_ohm_abstract_model_qwen25_vl_3b-04_latest","0","[json_decode] model output is not valid JSON (error: Expecting ',' delimiter at pos 159): '{\\n  ""reasoning"": ""Observing the bar chart, the orange bar appears significantly taller than the blue bars, suggesting a strong correlation between Y and B.""\\n  ""step_type"": ""action"",\\n  ""action"": {\\n    ""","True","266","False","0","True","False","0","","False","False","missing_comma","Model omitted comma between JSON fields (e.g. after 'reasoning' value). Not fixable by _repair(). Relies on max_parse_retries for re-generation. [Old-style log: only ~266-char snippet from parse_error field.]"
"6","wandb_downloads_text_image_chart_only2","Chart-only","distance","concrete","model_qwen25_vl_3b","chart_only_no_action_distance_concrete_model_qwen25_vl_3b","wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_distance_concrete_model_qwen25_vl_3b-07_latest","3","finish step must provide either final_equation (formula_discovery) or finish_reason (student_simulation)","False","0","False","0","True","False","0","","False","False","finish_schema_error","Model emitted step_type='finish' but provided neither final_equation nor finish_reason. Relies on max_parse_retries for re-generation. [Old-style log: no raw output preserved.]"
"7","wandb_downloads_text_image_chart_only2","Chart-only","kinematics","abbrev","model_qwen25_vl_7b","chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b","wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b-05_latest","0","[json_decode] model output is not valid JSON (error: Invalid \escape at pos 64): '{\\n  ""reasoning"": ""The orange bar represents the target variable \\( x \\), which appears to be significantly higher than the blue bars representing \\( x_0 \\) and \\( v \\). Given the scale, it\'s likely that \\( x ","True","315","False","0","True","False","0","","False","False","latex_backslash_escape","Model used LaTeX notation in JSON string (e.g. \<LaTeX>). Fixed by _repair() invalid-escape step (post-fix). Prompt rule 'no LaTeX' also added. [Old-style log: only ~315-char snippet from parse_error field.]"
"8","wandb_downloads_text_image_chart_only2","Chart-only","beers","concrete","model_qwen25_vl_3b","chart_only_no_action_beers_concrete_model_qwen25_vl_3b","wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_concrete_model_qwen25_vl_3b-08_latest","7","[json_decode] model output is not valid JSON (error: Expecting ',' delimiter at pos 170): '{\\n  ""reasoning"": ""Observing the bar chart, I notice that the absorbance (orange bar) increases as both concentration (blue bars) and path length (blue bars) increase.""\\n  ""step_type"": ""action"",\\n  ""action""","True","287","False","0","True","False","0","","False","False","missing_comma","Model omitted comma between JSON fields (e.g. after 'reasoning' value). Not fixable by _repair(). Relies on max_parse_retries for re-generation. [Old-style log: only ~287-char snippet from parse_error field.]"
"9","wandb_downloads_text_image_chart_only2","Chart-only","beers","abbrev","model_qwen25_vl_3b","chart_only_no_action_beers_abbrev_model_qwen25_vl_3b","wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_beers_abbrev_model_qwen25_vl_3b-03_latest","6","[json_decode] model output is not valid JSON (error: Expecting ',' delimiter at pos 252): '{\\n  ""reasoning"": ""Observing the bar chart, I notice that the orange bar, which represents variable A, is significantly taller than the blue bars representing variables epsilon and c. This suggests that A is ","True","308","False","0","True","False","0","","False","False","missing_comma","Model omitted comma between JSON fields (e.g. after 'reasoning' value). Not fixable by _repair(). Relies on max_parse_retries for re-generation. [Old-style log: only ~308-char snippet from parse_error field.]"
"10","wandb_downloads_text_image_chart_only2","Chart-only","kinematics","abbrev","model_qwen25_vl_7b","chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b","wandb_downloads_text_image_chart_only2/scientific-exploration-increase-text-image-chart-only2/artifacts/episode-chart_only_no_action_kinematics_abbrev_model_qwen25_vl_7b-09_latest","0","[json_decode] model output is not valid JSON (error: Invalid \escape at pos 64): '{\\n  ""reasoning"": ""The orange bar represents the target variable \\( x \\), while the blue bars represent the input variables \\( v \\) and \\( t \\). Observing the bar chart, it seems there is a direct relationship w","True","315","False","0","True","False","0","","False","False","latex_backslash_escape","Model used LaTeX notation in JSON string (e.g. \<LaTeX>). Fixed by _repair() invalid-escape step (post-fix). Prompt rule 'no LaTeX' also added. [Old-style log: only ~315-char snippet from parse_error field.]"
