source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,0,False,False,True,finish_wrong,35,,A = ε * c * l,0.9429,0.8286,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,1,False,False,True,finish_wrong,31,,A = ε * c * L,0.1935,0.6774,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,2,True,True,True,finish_success,8,8.0,absorbance = molar_absorptivity * concentration * path_length,0.875,0.25,1.0,0.125,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,3,False,False,True,finish_wrong,28,,A = ε * c * l,0.8929,0.75,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,4,False,False,True,finish_wrong,21,,absorbance = 4 * concentration * path_length * molar_absorptivity,0.8571,0.6667,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,5,False,False,True,finish_wrong,24,,absorbance = concentration * path_length * molar_absorptivity * k,0.9167,0.75,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,6,True,True,True,finish_success,31,31.0,absorbance = molar_absorptivity * concentration * path_length,0.8387,0.7742,1.0,0.032258,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,7,True,True,True,finish_success,16,16.0,absorbance = molar_absorptivity * concentration * path_length,0.1875,0.5625,0.2,0.0625,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,8,False,False,True,finish_wrong,15,,A = εbc,0.6,0.6,0.6429,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,9,False,False,True,finish_wrong,38,,A = εlc,0.9211,0.8421,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,10,False,False,True,finish_wrong,74,,A = εbcL,0.7703,0.9054,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,11,False,False,True,finish_wrong,15,,A = εlc,0.8,0.5333,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,12,False,False,True,finish_wrong,16,,A = εbc,0.9375,0.625,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,13,False,False,True,finish_wrong,30,,A = ε * c * l,0.2667,0.6667,0.2759,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,14,False,False,True,finish_wrong,32,,A = εbc,0.1875,0.7188,0.1935,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,15,False,False,True,finish_wrong,33,,A = ε * c * l,0.9091,0.7879,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,16,True,True,True,finish_success,39,39.0,absorbance = molar_absorptivity * concentration * path_length,0.9487,0.8462,1.0,0.025641,
leyao-li-epfl/scientific-exploration/run-j51excb1-episodes:v0,run-j51excb1-episodes,v0,17,False,False,True,finish_wrong,7,,A = εbcL,0.5714,0.2857,0.6667,0.0,
