source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,0,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,1,True,True,True,finish_success,5,5.0,Y = A + B + C,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,2,True,True,True,finish_success,5,5.0,Y = 2 * C,0.8,0.4,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,3,False,False,True,finish_wrong,3,,Y = 2 * A + 2 * C,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,4,True,True,True,finish_success,5,5.0,Y = A + B + C,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,5,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,6,False,False,True,finish_wrong,4,,Y = 20 * A + 30 * B + 40 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,7,False,False,True,finish_wrong,6,,Y = 10 * A + 20 * B + 30 * C,0.6667,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,8,False,False,True,finish_wrong,4,,Y = 3 * A + 2.25 * C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,9,False,False,True,finish_wrong,5,,Y = 10 * B + 0 * A + 0 * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,10,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,11,False,False,True,finish_wrong,6,,Y = 3 * C,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,12,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,13,False,False,True,finish_wrong,6,,Y = 10 * B,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,14,False,False,True,finish_wrong,5,,Y = C * 10,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,15,False,False,True,finish_wrong,5,,Y = 20 * A + 30 * B + 50 * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,16,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,17,False,False,True,finish_wrong,4,,Y = 5 * C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,18,False,False,True,finish_wrong,5,,Y = 10 * A + 10 * B + 0 * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,19,False,False,True,finish_wrong,6,,Y = 2.5 * A,0.5,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,20,True,True,True,finish_success,5,5.0,Y = A + B + C,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,21,False,False,True,finish_wrong,5,,Y = 10 * B,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,22,True,True,True,finish_success,5,5.0,Y = 2 * C,0.8,0.4,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,23,False,False,True,finish_wrong,7,,Y = 2 * B,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,24,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,25,False,False,True,finish_wrong,6,,Y = 10 * C,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,26,False,False,True,finish_wrong,4,,Y = 10*A + 20*B + 10*C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,27,False,False,True,finish_wrong,6,,Y = A,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,28,False,False,True,finish_wrong,6,,Y = B,0.8333,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-stzy25x3-episodes:v0,run-stzy25x3-episodes,v0,29,False,False,True,finish_wrong,5,,Y = 5 * C,0.8,0.2,0.0,0.0,
