source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,0,False,False,True,finish_wrong,26,,x = 2x0 + 15t,0.7692,0.6923,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,1,False,False,True,finish_wrong,14,,x = 10t + 20v,0.7143,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,2,False,False,True,finish_wrong,47,,x = kvt,0.5532,0.766,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,3,False,False,False,max_steps,100,,,0.49,0.91,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,4,False,False,True,finish_wrong,21,,x = k * x0 / v * t,0.7619,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,5,False,False,True,finish_wrong,38,,x = (x0 + v * t) * 35.0 / 25.0,0.6842,0.7368,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,6,False,False,True,finish_wrong,10,,x = x0 + 5t,0.7,0.3,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,7,False,False,True,finish_wrong,49,,x = 50v + 10t + x0,0.898,0.8776,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,8,False,False,True,finish_wrong,47,,x = 5 * x0 + 50 * t,0.8936,0.8511,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,9,True,True,True,finish_success,32,32.0,x = x0 + v*t,0.75,0.8125,0.0,0.03125,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,10,True,True,True,finish_success,40,40.0,x = x0 + v*t,0.7,0.825,0.0,0.025,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,11,False,False,False,max_steps,100,,,0.97,0.95,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,12,False,False,True,finish_wrong,30,,x = x0,0.5,0.7333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,13,True,True,True,finish_success,58,58.0,x = x0 + v*t,0.9138,0.8793,0.0,0.017241,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,14,False,False,True,finish_wrong,37,,x = 5 * x0 * v,0.9459,0.8108,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,15,False,False,True,finish_wrong,34,,x = x0 + vt,0.7353,0.8235,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,16,False,False,False,parse_error,10,,,0.5,0.2,0.0,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,17,False,False,True,finish_wrong,74,,x = 10x0 + 50v,0.8243,0.8919,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,18,False,False,False,max_steps,100,,,0.96,0.94,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,19,False,False,True,finish_wrong,72,,x = 10 + 10 * x0,0.6111,0.875,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,20,False,False,True,finish_wrong,72,,x = 80t + 230 + 20v,0.875,0.9028,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,21,False,False,True,finish_wrong,33,,x = x0 + vt,0.697,0.7576,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,22,False,False,True,finish_wrong,21,,x = x0 + vt,0.8095,0.7143,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ka01bey2-episodes:v0,run-ka01bey2-episodes,v0,23,False,False,True,finish_wrong,56,,x = x0 + v + t,0.9643,0.9107,0.0,0.0,
