source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,0,True,True,True,finish_success,4,4,Y = A + B,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,1,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,2,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,3,True,True,True,finish_success,8,8,Y = A + B,0.625,0.375,0.0,0.125,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,4,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,5,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,6,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,7,True,True,True,finish_success,4,4,Y = A + B,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,8,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,9,True,True,True,finish_success,5,5,Y = A + B,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-v0pavqxf-episodes:v0,run-v0pavqxf-episodes,v0,10,True,True,True,finish_success,3,3,Y = A + B,0.6667,0.0,0.0,0.333333,
