source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,0,False,False,True,finish_wrong,5,,Y = 10 * A + 10 * B + 5 * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,1,False,False,True,finish_wrong,4,,Y = 20A + 30B + 40C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,2,False,False,True,finish_wrong,7,,Y = A + B + C + 60,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,3,False,False,True,finish_wrong,1,,Y = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,4,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,5,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,6,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,7,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,8,False,False,True,finish_wrong,5,,Y = 10 * C,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,9,False,False,True,finish_wrong,1,,Y = 60.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,10,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,11,False,False,True,finish_wrong,4,,Y = 5*A,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,12,False,False,True,finish_wrong,4,,Y = 5 * (A + B),0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,13,False,False,True,finish_wrong,6,,Y = 10*A + 15*B - 5*C,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,14,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,15,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,16,False,False,True,finish_wrong,4,,Y = 3 * A,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,17,False,False,True,finish_wrong,3,,Y = 10 + A + B + C,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,18,False,False,True,finish_wrong,5,,Y = kB,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,19,False,False,True,finish_wrong,6,,Y = 10 * A + 10 * B,0.8333,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,20,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,21,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,22,False,False,True,finish_wrong,4,,Y = 90.0,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,23,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-6dhhosvj-episodes:v0,run-6dhhosvj-episodes,v0,24,True,True,True,finish_success,1,1.0,Y = A + B + C,1.0,0.0,0.0,1.0,
