source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,0,False,False,True,finish_wrong,9,,A = ε * C * L,0.4444,0.2222,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,1,False,False,True,finish_wrong,8,,A = ε * c * l,0.625,0.375,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,2,False,False,True,finish_wrong,11,,A = k * C * L,0.4545,0.4545,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,3,False,False,True,finish_wrong,8,,A = εcl,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,4,False,False,True,finish_wrong,23,,A = εcl + b,0.1304,0.6957,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,5,False,False,True,finish_wrong,7,,A = εcl,0.7143,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,6,False,False,True,finish_wrong,6,,Absorbance = ε × Concentration × Path Length,0.5,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,7,False,False,True,finish_wrong,5,,A = 0.05 * c * l,0.4,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,8,False,False,True,finish_wrong,7,,A = 0.01 * c * l,0.7143,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-0j557e1q-episodes:v0,run-0j557e1q-episodes,v0,9,False,False,True,finish_wrong,12,,Absorbance = 0.015 * concentration + 0.75 * path_length,0.5833,0.5,0.0,0.0,
