source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,0,False,False,True,finish_wrong,4,,V = 2 * R,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,1,False,False,True,finish_wrong,6,,V = 10I + 0,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,2,False,False,True,finish_wrong,20,,V = k * R,0.45,0.75,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,3,False,False,True,finish_wrong,4,,V = 3 * I * R,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,4,False,False,True,finish_wrong,1,,V = 20.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,5,False,False,True,finish_wrong,8,,V = 6 * I * R,0.875,0.625,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,6,False,False,True,finish_wrong,10,,V = k * I / R,0.8,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,7,False,False,True,finish_wrong,1,,V = 20.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,8,False,False,True,finish_wrong,5,,V = k * R^2,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,9,False,False,True,finish_wrong,6,,V = k * R,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,10,False,False,True,finish_wrong,4,,V = 5*I,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,11,False,False,True,finish_wrong,7,,V = 4.0 * I * R,0.8571,0.5714,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,12,False,False,True,finish_wrong,5,,V = 2 * R,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,13,False,False,True,finish_wrong,3,,V = 2.0 * R,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,14,True,True,True,finish_success,8,8.0,V = I * R,0.625,0.375,0.0,0.125,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,15,True,True,True,finish_success,10,10.0,V = 1 * I * R,0.9,0.7,0.0,0.1,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,16,False,False,True,finish_wrong,8,,V = k * I * R,0.875,0.625,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,17,False,False,True,finish_wrong,5,,V = 20 * I * R,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-skzxlqaa-episodes:v0,run-skzxlqaa-episodes,v0,18,False,False,True,finish_wrong,4,,V = 2R,0.75,0.5,0.0,0.0,
