source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,0,True,True,True,finish_success,1,1.0,absorbance = molar_absorptivity * concentration * path_length,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,1,False,False,True,finish_wrong,1,,A = ε * c * l,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,2,True,True,True,finish_success,3,3.0,absorbance = molar_absorptivity * concentration * path_length,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,3,False,False,True,finish_wrong,4,,A = ε * c * l,0.75,0.25,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,4,False,False,True,finish_wrong,5,,A = ε * c * l,0.8,0.2,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,5,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,6,True,True,True,finish_success,3,3.0,absorbance = molar_absorptivity * concentration * path_length,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,7,True,True,True,finish_success,2,2.0,absorbance = molar_absorptivity * concentration * path_length,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,8,False,False,True,finish_wrong,1,,A = ε * c * l,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,9,False,False,True,finish_wrong,1,,A = ε * c * l,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,10,True,True,True,finish_success,3,3.0,Absorbance = molar_absorptivity * concentration * path_length,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,11,False,False,True,finish_wrong,1,,A = ε * c * l,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,12,True,True,True,finish_success,1,1.0,absorbance = molar_absorptivity * concentration * path_length,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,13,False,False,True,finish_wrong,4,,A = 2.0 * 3.0 * 2.0,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,14,False,False,True,finish_wrong,3,,A = ε * c * l,0.6667,0.3333,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,15,False,False,True,finish_wrong,5,,absorbance = -log(transmittance),0.6,0.0,0.75,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,16,False,False,True,finish_wrong,2,,A = ε * c * l,0.5,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,17,False,False,True,finish_wrong,1,,A = ε * c * l,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,18,False,False,True,finish_wrong,3,,A = ε * c * l,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,19,True,True,True,finish_success,6,6.0,absorbance = molar_absorptivity * concentration * path_length,0.8333,0.3333,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,20,True,True,True,finish_success,23,23.0,absorbance = molar_absorptivity * concentration * path_length,0.2174,0.6957,0.2273,0.043478,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,21,False,False,True,finish_wrong,13,,A = ε * c * l,0.9231,0.6154,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,22,True,True,True,finish_success,1,1.0,absorbance = molar_absorptivity * concentration * path_length,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,23,False,False,True,finish_wrong,5,,A = ε * c * l,0.8,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-qo0ob36s-episodes:v0,run-qo0ob36s-episodes,v0,24,False,False,True,finish_wrong,2,,c = A / (ε * l),0.5,0.0,1.0,0.0,
