source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,0,True,True,True,finish_success,5,5.0,Y = A + B,0.8,0.4,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,1,False,False,True,finish_wrong,8,,Y = 1.25 * A,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,2,False,False,True,finish_wrong,7,,Y = A + 10,0.8571,0.5714,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,3,False,False,True,finish_wrong,5,,Y = 2.5 * A + 3 * B,0.6,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,4,True,True,True,finish_success,5,5.0,Y = A + B,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,5,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,6,False,False,True,finish_wrong,5,,Y = 5 * A,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,7,False,False,True,finish_wrong,5,,Y = 2.5 * A,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,8,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,9,False,False,True,finish_wrong,4,,Y = 10 * A + 0 * B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,10,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,11,False,False,True,finish_wrong,4,,Y = 10 * A,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,12,True,True,True,finish_success,5,5.0,Y = A + B,0.8,0.4,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,13,False,False,True,finish_wrong,5,,Y = 2.5 * A,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-22mp09g2-episodes:v0,run-22mp09g2-episodes,v0,14,False,False,True,finish_wrong,4,,Y = 2 * A,0.75,0.25,0.0,0.0,
