source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,0,False,False,True,finish_wrong,4,,A = epsilon * c,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,1,False,False,True,finish_wrong,4,,A = epsilon * c,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,2,False,False,True,finish_wrong,4,,A = 2 * c,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,3,False,False,True,finish_wrong,3,,A = epsilon^2 * c * l,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,4,True,True,True,finish_success,3,3.0,A = epsilon * c * l,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,5,False,False,True,finish_wrong,4,,A = epsilon * c,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,6,False,False,True,finish_wrong,3,,A = epsilon * c,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,7,False,False,True,finish_wrong,4,,A = 2 * epsilon,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,8,False,False,True,finish_wrong,3,,A = epsilon,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,9,False,False,True,finish_wrong,4,,A = 6 * c * l,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,10,False,False,True,finish_wrong,4,,A = epsilon * c,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,11,False,False,True,finish_wrong,4,,A = 3 * epsilon,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,12,False,False,True,finish_wrong,5,,A = 2 * epsilon * c,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,13,False,False,True,finish_wrong,3,,A = 2 * epsilon,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,14,False,False,True,finish_wrong,4,,A = epsilon * c,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,15,False,False,True,finish_wrong,4,,A = epsilon * c,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,16,False,False,True,finish_wrong,4,,A = 2 * epsilon * c * l,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-sofb46aj-episodes:v0,run-sofb46aj-episodes,v0,17,False,False,True,finish_wrong,3,,A = epsilon,0.6667,0.3333,0.0,0.0,
