episode_id,source,modality,prompt_condition,condition,model,hmm_group,length,human_hmm_mean_loglik_per_step,trace_str
human__ex_bckp1-B-DC_sim1.pkl,human,human,human,human,human,human,79,-1.4430860167293031,increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_concentration -> decrease_concentration -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> decrease_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> decrease_concentration -> decrease_concentration -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> finish
human__ex_bckp1-B-DI_sim1.pkl,human,human,human,human,human,human,21,-1.2778942945346545,increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> increase_concentration -> finish
human__ex_bckp2-B-DC_sim1.pkl,human,human,human,human,human,human,55,-1.3959584836354357,increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_path_length -> increase_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> finish
human__ex_bckp3-B-DC_sim1.pkl,human,human,human,human,human,human,33,-1.2750749451659722,decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> finish
human__ex_bckp3-B-DI_sim1.pkl,human,human,human,human,human,human,43,-1.4091700749438816,increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> finish
human__ex_bckp4-B-DC_sim1.pkl,human,human,human,human,human,human,22,-1.8419244239367887,increase_concentration -> decrease_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_concentration -> decrease_concentration -> decrease_concentration -> decrease_wavelength -> increase_concentration -> increase_concentration -> increase_wavelength -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> increase_concentration -> decrease_concentration -> finish
human__ex_bckp4-B-DI_sim1.pkl,human,human,human,human,human,human,33,-1.890539019934834,increase_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> increase_concentration -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_concentration -> decrease_wavelength -> increase_wavelength -> decrease_concentration -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> finish
human__ex_bckp5-B-DI_sim1.pkl,human,human,human,human,human,human,30,-1.5684520032456986,increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> decrease_concentration -> decrease_concentration -> decrease_wavelength -> decrease_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_wavelength -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> finish
human__k1-25oz4ao2_sim1.pkl,human,human,human,human,human,human,69,-1.3135632501944006,increase_wavelength -> decrease_wavelength -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_concentration -> increase_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_concentration -> decrease_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> finish
human__k1-2amr9p8_sim1.pkl,human,human,human,human,human,human,42,-1.7161533777688367,increase_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_wavelength -> increase_wavelength -> increase_concentration -> decrease_concentration -> increase_concentration -> increase_path_length -> decrease_path_length -> increase_path_length -> decrease_path_length -> decrease_path_length -> increase_path_length -> decrease_wavelength -> decrease_path_length -> increase_path_length -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_path_length -> decrease_concentration -> increase_concentration -> increase_wavelength -> decrease_concentration -> increase_concentration -> decrease_concentration -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> increase_wavelength -> decrease_wavelength -> increase_wavelength -> finish
