source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,0,False,False,True,finish_wrong,20,,Y2 = k * B,0.95,0.9,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,1,False,False,True,finish_wrong,7,,Y2 = kB,0.8571,0.7143,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,2,False,False,True,finish_wrong,13,,Y2 = k / (A * B),0.6154,0.6154,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,3,False,False,True,finish_wrong,10,,Y2 = Y1,0.3,0.3,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,4,False,False,True,finish_wrong,29,,Y2 = k * A * B / C,0.931,0.8621,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,5,False,False,True,finish_wrong,10,,Y2 = k * A,0.6,0.7,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,6,False,False,True,finish_wrong,11,,Y2 = 2.55/B,0.8182,0.6364,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,7,False,False,True,finish_wrong,14,,Y2 = 6.6,0.7857,0.7143,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,8,False,False,True,finish_wrong,30,,Y2 = 0.0005 * A,0.7667,0.8667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,9,False,False,True,finish_wrong,7,,Y2 = kB,0.4286,0.2857,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,10,False,False,True,finish_wrong,10,,Y2 = k * B,0.9,0.8,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,11,False,False,True,finish_wrong,16,,Y2 = 0.5 * B,0.5,0.8125,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,12,False,False,True,finish_wrong,10,,Y2 = 1.2,0.5,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,13,False,False,True,finish_wrong,6,,Y2 = 0.5 * B,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,14,False,False,True,finish_wrong,11,,Y2 = 1.0,0.3636,0.3636,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,15,False,False,True,finish_wrong,11,,Y2 = 1.5 / B,0.4545,0.5455,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,16,False,False,True,finish_wrong,7,,Y2 = 1.5,0.2857,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,17,False,False,True,finish_wrong,8,,Y2 = k * B,0.875,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,18,False,False,True,finish_wrong,3,,Y2 = 1.0,0.3333,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,19,False,False,True,finish_wrong,6,,Y2 = 1.65,0.5,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,20,False,False,False,max_steps,30,,,0.1,0.8667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,21,False,False,True,finish_wrong,6,,Y2 = k * (B / A),0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,22,False,False,False,max_steps,30,,,0.0667,0.9,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,23,False,False,True,finish_wrong,10,,Y2 = k * B,0.3,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,24,False,False,False,max_steps,30,,,0.1667,0.4667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,25,False,False,True,finish_wrong,7,,Y2 = 1.2,0.5714,0.2857,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,26,False,False,True,finish_wrong,15,,Y2 = 1 / B,0.4,0.7333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,27,False,False,True,finish_wrong,25,,Y2 = -0.25 * B,0.76,0.8,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,28,False,False,True,finish_wrong,10,,Y2 = 1.6,0.7,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-74j1nle8-episodes:v0,run-74j1nle8-episodes,v0,29,False,False,True,finish_wrong,9,,Y2 = kB,0.4444,0.4444,0.0,0.0,
