episode_path,run_name,modality,formula,setup,model,has_parse_error,failed_step,parse_error_message,finish_reached,forced_finish,final_equation
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_abbrev_model_qwen25_vl_7b-01_latest,image_only_distance_abbrev_model_qwen25_vl_7b,Simulation-only,distance,abbrev,model_qwen25_vl_7b,False,,,True,False,d = d1 + d2 + d3
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abbrev_model_qwen25_vl_7b-09_latest,image_only_kinematics_abbrev_model_qwen25_vl_7b,Simulation-only,kinematics,abbrev,model_qwen25_vl_7b,False,,,True,False,x = v + x0
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abbrev_model_qwen25_vl_3b-06_latest,image_only_mass_abbrev_model_qwen25_vl_3b,Simulation-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = rho + V
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_3b-00_latest,image_only_resistors_abbrev_model_qwen25_vl_3b,Simulation-only,resistors,abbrev,model_qwen25_vl_3b,False,,,True,False,Rt = R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abbrev_model_qwen25_vl_3b-03_latest,image_only_mass_abbrev_model_qwen25_vl_3b,Simulation-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = e^(rho * V)
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_7b-08_latest,image_only_kinematics_abstract_model_qwen25_vl_7b,Simulation-only,kinematics,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_distance_concrete_model_qwen25_vl_7b-07_latest,image_only_distance_concrete_model_qwen25_vl_7b,Simulation-only,distance,concrete,model_qwen25_vl_7b,False,,,True,False,total_distance = distance_1 + distance_2 + distance_3
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_concrete_model_qwen25_vl_7b-01_latest,image_only_beers_concrete_model_qwen25_vl_7b,Simulation-only,beers,concrete,model_qwen25_vl_7b,False,,,True,False,A = ε * c * l
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_abbrev_model_qwen25_vl_7b-08_latest,image_only_ohm_abbrev_model_qwen25_vl_7b,Simulation-only,ohm,abbrev,model_qwen25_vl_7b,False,,,True,False,V = constant
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_beers_abbrev_model_qwen25_vl_7b-02_latest,image_only_beers_abbrev_model_qwen25_vl_7b,Simulation-only,beers,abbrev,model_qwen25_vl_7b,False,,,True,False,A = f(l)
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_concrete_model_qwen25_vl_3b-09_latest,image_only_mass_concrete_model_qwen25_vl_3b,Simulation-only,mass,concrete,model_qwen25_vl_3b,False,,,True,False,mass = density * volume
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abstract_model_qwen25_vl_7b-02_latest,image_only_resistors_abstract_model_qwen25_vl_7b,Simulation-only,resistors,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_kinematics_abstract_model_qwen25_vl_7b-09_latest,image_only_kinematics_abstract_model_qwen25_vl_7b,Simulation-only,kinematics,abstract,model_qwen25_vl_7b,False,,,True,False,Y = A * B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_concrete_model_qwen25_vl_7b-00_latest,image_only_resistors_concrete_model_qwen25_vl_7b,Simulation-only,resistors,concrete,model_qwen25_vl_7b,False,,,True,False,total_resistance = resistance_1 + resistance_2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_ohm_concrete_model_qwen25_vl_3b-07_latest,image_only_ohm_concrete_model_qwen25_vl_3b,Simulation-only,ohm,concrete,model_qwen25_vl_3b,False,,,True,False,voltage = current * resistance
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_concrete_model_qwen25_vl_7b-07_latest,image_only_mass_concrete_model_qwen25_vl_7b,Simulation-only,mass,concrete,model_qwen25_vl_7b,False,,,True,False,mass = density * volume
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_resistors_abbrev_model_qwen25_vl_7b-05_latest,image_only_resistors_abbrev_model_qwen25_vl_7b,Simulation-only,resistors,abbrev,model_qwen25_vl_7b,False,,,True,False,Rt = R1 + R2
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abstract_model_qwen25_vl_3b-01_latest,image_only_mass_abstract_model_qwen25_vl_3b,Simulation-only,mass,abstract,model_qwen25_vl_3b,False,,,True,False,Y = A + B
wandb_downloads_image_only/scientific-exploration-increase-image-only-/artifacts/episode-image_only_mass_abbrev_model_qwen25_vl_3b-09_latest,image_only_mass_abbrev_model_qwen25_vl_3b,Simulation-only,mass,abbrev,model_qwen25_vl_3b,False,,,True,False,m = rho * V
