source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,0,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,1,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,2,True,True,True,finish_success,4,4,voltage = current * resistance,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,3,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,4,True,True,True,finish_success,4,4,voltage = current * resistance,0.5,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,5,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,6,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,7,True,True,True,finish_success,4,4,voltage = current * resistance,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,8,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,9,True,True,True,finish_success,2,2,voltage = current * resistance,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,10,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,11,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,12,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,13,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,14,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,15,True,True,True,finish_success,2,2,voltage = current * resistance,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,16,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,17,True,True,True,finish_success,4,4,voltage = current * resistance,0.5,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,18,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,19,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,20,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,21,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,22,True,True,True,finish_success,4,4,voltage = current * resistance,0.75,0.25,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,23,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,24,True,True,True,finish_success,5,5,voltage = current * resistance,0.6,0.0,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,25,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,26,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,27,True,True,True,finish_success,3,3,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,28,True,True,True,finish_success,5,5,voltage = current * resistance,0.8,0.4,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-d8sqf2sr-episodes:v0,run-d8sqf2sr-episodes,v0,29,True,True,True,finish_success,2,2,voltage = current * resistance,0.5,0.0,1.0,0.5,
