source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,0,False,False,True,finish_wrong,6,,A = 6.0,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,1,False,False,True,finish_wrong,4,,A = 12.0,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,2,False,False,True,finish_wrong,4,,A = 2 * epsilon,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,3,False,False,True,finish_wrong,4,,A = 2 * l,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,4,False,False,True,finish_wrong,5,,A = 6 * l,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,5,False,False,True,finish_wrong,6,,A = c * 2,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,6,True,True,True,finish_success,4,4.0,A = epsilon * c * l,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,7,False,False,True,finish_wrong,7,,A = epsilon * c,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,8,False,False,True,finish_wrong,5,,A = l,0.8,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,9,False,False,True,finish_wrong,4,,A = (epsilon * c * l) / T,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,10,False,False,True,finish_wrong,7,,A = 8 * l,0.7143,0.1429,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,11,False,False,True,finish_wrong,5,,A = l,0.8,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,12,False,False,True,finish_wrong,4,,A = 2 * epsilon * c * l,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,13,False,False,True,finish_wrong,4,,A = 12.0,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,14,False,False,True,finish_wrong,4,,A = c * 2,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-1u7mfx02-episodes:v0,run-1u7mfx02-episodes,v0,15,False,False,True,finish_wrong,5,,A = c / 0.5,0.6,0.0,0.0,0.0,
