source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,0,False,False,True,finish_wrong,2,,V = 0,0.5,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,1,False,False,False,parse_error,2,,,1.0,0.0,1.0,0.0,"model output is not valid JSON: {
  ""reasoning"": ""The voltage decreased back to 20 volts when the current was halved, confirming the relationship \( V = I \times R \). No further changes in variables will provide additional insights."",
  ""step_type"": ""finish"",
  ""action"": null,
  ""final_equation"": ""V = I * R""
}"
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,2,False,False,True,finish_wrong,3,,V = I * R,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,3,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.5,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,4,False,False,True,finish_wrong,5,,V = I * R,0.8,0.4,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,5,False,False,True,finish_wrong,3,,V = I * R,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,6,False,False,True,finish_wrong,2,,V = I * R,0.5,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,7,False,False,True,finish_wrong,7,,V = 4 * 10,0.5714,0.2857,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,8,False,False,True,finish_wrong,24,,V = -130 * 10,0.7917,0.7917,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,9,True,True,True,finish_success,3,3.0,voltage = current * resistance,0.6667,0.3333,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,10,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,11,True,True,True,finish_success,1,1.0,voltage = current * resistance,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,12,False,False,True,finish_wrong,6,,V = 3 * R,0.8333,0.5,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,13,False,False,True,finish_wrong,7,,V = I * R,0.4286,0.2857,0.6667,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,14,False,False,True,finish_wrong,1,,V = I * R,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,15,True,True,True,finish_success,3,3.0,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,16,False,False,True,finish_wrong,4,,V = I * R,0.75,0.25,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,17,False,False,True,finish_wrong,5,,V = I * R,0.8,0.2,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,18,True,True,True,finish_success,3,3.0,voltage = current * resistance,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,19,False,False,True,finish_wrong,3,,V = I * R,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,20,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.4,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-ktebi5qx-episodes:v0,run-ktebi5qx-episodes,v0,21,False,False,True,finish_wrong,4,,V = I * R,0.75,0.25,1.0,0.0,
