source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,0,False,False,True,finish_wrong,14,,Y2 = 2*A*B*C,0.4286,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,1,False,False,True,finish_wrong,44,,Y2 = 2^(A + B + C),0.7955,0.8409,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,2,False,False,True,finish_wrong,10,,Y2 = A^2,0.7,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,3,False,False,True,finish_wrong,31,,Y2 = 9*C,0.1613,0.7742,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,4,False,False,False,max_steps,100,,,0.05,0.92,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,5,False,False,True,finish_wrong,8,,Y2 = k * A * C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,6,False,False,True,finish_wrong,28,,Y2 = 6*C,0.1786,0.6429,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,7,False,False,True,finish_wrong,12,,Y2 = C,0.5833,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,8,False,False,True,finish_wrong,19,,Y2 = 2*A + 2*B + 2*C,0.8421,0.6316,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,9,False,False,True,finish_wrong,43,,Y2 = 3C^2 + 9B,0.6512,0.8372,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,10,False,False,True,finish_wrong,9,,Y2 = 6*C,0.5556,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,11,False,False,True,finish_wrong,6,,Y2 = k * A,0.5,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,12,False,False,True,finish_wrong,42,,Y2 = k * C,0.0714,0.7619,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,13,False,False,True,finish_wrong,25,,Y2 = k * A^3 * B^7,0.44,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,14,False,False,False,parse_error,10,,,0.4,0.3,0.0,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,15,False,False,True,finish_wrong,30,,Y2 = 2 * A^2 * C^2 * B,0.1667,0.6333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,16,False,False,True,finish_wrong,14,,Y2 = 2^C,0.4286,0.6429,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,17,False,False,True,finish_wrong,54,,Y2 = 3A + 2B,0.0926,0.8333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,18,False,False,True,finish_wrong,8,,Y2 = k * C,0.5,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,19,False,False,True,finish_wrong,22,,Y2 = 2^A,0.2273,0.5909,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,20,False,False,True,finish_wrong,20,,Y2 = 4 * A,0.55,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,21,False,False,True,finish_wrong,13,,Y2 = C^2,0.5385,0.3077,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,22,False,False,True,finish_wrong,13,,Y2 = k * A * B,0.5385,0.3846,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,23,False,False,True,finish_wrong,58,,A*C = Y2,0.1552,0.8448,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,24,False,False,True,finish_wrong,40,,Y2 = C^2,0.275,0.8,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,25,False,False,True,finish_wrong,44,,Y2 = 4 * C,0.6136,0.8182,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,26,False,False,False,parse_error,3,,,0.6667,0.0,0.0,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,27,False,False,True,finish_wrong,34,,Y2 = 6 * A * B * C,0.5294,0.7647,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,28,False,False,True,finish_wrong,50,,Y2 = 3B,0.22,0.86,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-seiur8c7-episodes:v0,run-seiur8c7-episodes,v0,29,False,False,True,finish_wrong,15,,Y2 = 3A + 3B + 6C,0.6,0.5333,0.0,0.0,
