source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,0,True,True,True,finish_success,4,4.0,position = initial_position + velocity * time,0.75,0.25,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,1,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,2,True,True,True,finish_success,1,1.0,position = initial_position + velocity * time,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,3,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,4,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,5,False,False,True,finish_wrong,3,,position = velocity * time,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,6,False,False,True,finish_wrong,3,,position = velocity * time,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,7,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,8,True,True,True,finish_success,1,1.0,position = initial_position + velocity * time,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,9,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,10,False,False,True,finish_wrong,3,,position = velocity * time,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,11,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,12,False,False,True,finish_wrong,3,,position = velocity * time,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,13,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,14,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,15,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,16,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,17,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,18,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,19,False,False,True,finish_wrong,3,,position = velocity * time,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,20,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,21,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,22,True,True,True,finish_success,3,3.0,initial_position + velocity * time,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,23,True,True,True,finish_success,3,3.0,position = initial_position + velocity * time,0.6667,0.3333,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,24,False,False,True,finish_wrong,1,,position = velocity * time,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,25,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,26,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,27,True,True,True,finish_success,2,2.0,position = initial_position + velocity * time,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,28,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-jsthacbz-episodes:v0,run-jsthacbz-episodes,v0,29,False,False,True,finish_wrong,4,,position = velocity * time,0.5,0.0,1.0,0.0,
