source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,0,False,False,True,finish_wrong,3,,Y = B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,1,False,False,True,finish_wrong,4,,Y = 2 * A,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,2,False,False,True,finish_wrong,5,,Y = 1.5 * A,0.4,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,3,True,True,True,finish_success,4,4.0,Y = A + B,0.5,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,4,False,False,True,finish_wrong,4,,Y = A - B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,5,False,False,True,finish_wrong,3,,Y = A - B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,6,False,False,True,finish_wrong,4,,Y = 25,0.25,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,7,False,False,True,finish_wrong,3,,Y = B * 3,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,8,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,9,False,False,True,finish_wrong,5,,Y = B + 20,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,10,False,False,True,finish_wrong,7,,Y = B + 20,0.4286,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,11,False,False,True,finish_wrong,3,,Y = A,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,12,False,False,True,finish_wrong,3,,Y = 1.25A + 5,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,13,False,False,True,finish_wrong,3,,Y = A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,14,False,False,True,finish_wrong,3,,Y = B + 10,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,15,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,16,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,17,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,18,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,19,False,False,True,finish_wrong,4,,Y = A + 10,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,20,False,False,True,finish_wrong,4,,Y = B * 5,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,21,False,False,True,finish_wrong,3,,Y = 2A + B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,22,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,23,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,24,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,25,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,26,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,27,False,False,True,finish_wrong,3,,Y = 30 - A - B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,28,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-wp6i99gr-episodes:v0,run-wp6i99gr-episodes,v0,29,True,True,True,finish_success,4,4.0,Y = A + B,0.75,0.0,0.0,0.25,
