source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,0,True,True,True,finish_success,7,7.0,total_resistance = R1 + R2,0.2857,0.4286,0.3333,0.142857,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,1,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,2,True,True,True,finish_success,8,8.0,total_resistance = R1 + R2,0.75,0.5,0.8571,0.125,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,3,True,True,True,finish_success,8,8.0,total_resistance = (R1 + R2),0.375,0.125,0.2857,0.125,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,4,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,5,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,6,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,7,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,8,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,9,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.3333,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,10,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,11,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,12,True,True,True,finish_success,7,7.0,total_resistance = R1 + R2,0.1429,0.1429,0.0,0.142857,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,13,False,False,True,finish_wrong,1,,R1 + R2 = total_resistance,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,14,False,False,True,finish_wrong,1,,1/total_resistance = 1/R1 + 1/R2,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,15,True,True,True,finish_success,5,5.0,total_resistance = R1 + R2,0.4,0.0,0.25,0.2,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,16,True,True,True,finish_success,5,5.0,total_resistance = R1 + R2,0.8,0.4,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,17,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.3333,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,18,True,True,True,finish_success,10,10.0,total_resistance = R1 + R2,0.4,0.2,0.5556,0.1,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,19,True,True,True,finish_success,1,1.0,R_total = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,20,True,True,True,finish_success,8,8.0,total_resistance = R1 + R2,0.375,0.25,0.4286,0.125,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,21,True,True,True,finish_success,18,18.0,total_resistance = R1 + R2,0.5556,0.7778,0.5882,0.055556,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,22,True,True,True,finish_success,5,5.0,total_resistance = R1 + R2,0.4,0.2,0.5,0.2,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,23,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,24,True,True,True,finish_success,5,5.0,total_resistance = R1 + R2,0.4,0.0,0.5,0.2,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,25,False,False,True,finish_wrong,1,,R1 + R2 = total_resistance,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,26,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,27,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,28,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-3c6m72zu-episodes:v0,run-3c6m72zu-episodes,v0,29,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
