source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,0,True,True,True,finish_success,4,4.0,mass = density * volume * k,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,1,True,True,True,finish_success,8,8.0,mass = k * density * volume,0.875,0.5,1.0,0.125,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,2,True,True,True,finish_success,1,1.0,mass = density * volume * k,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,3,False,False,True,finish_wrong,4,,mass = density * volume,0.75,0.5,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,4,True,True,True,finish_success,4,4.0,mass = density * volume * k,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,5,True,True,True,finish_success,5,5.0,mass = density * volume * k,0.8,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,6,True,True,True,finish_success,2,2.0,mass = density * volume * k,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,7,True,True,True,finish_success,4,4.0,mass = density * volume * k,0.75,0.25,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,8,True,True,True,finish_success,6,6.0,mass = k * density * volume,0.8333,0.3333,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-ns7ol9lu-episodes:v0,run-ns7ol9lu-episodes,v0,9,True,True,True,finish_success,16,16.0,mass = density * volume * k,0.1875,0.6875,0.2,0.0625,
