source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,0,True,True,True,finish_success,6,6.0,voltage = current * resistance,0.8333,0.3333,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,1,False,False,True,finish_wrong,5,,V = I * R,0.8,0.2,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,2,True,True,True,finish_success,10,10.0,voltage = current * resistance,0.3,0.4,0.5556,0.1,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,3,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,4,True,True,True,finish_success,10,10.0,voltage = current * resistance,0.2,0.4,0.3333,0.1,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,5,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.8,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,6,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.8,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,7,True,True,True,finish_success,7,7.0,voltage = current * resistance,0.4286,0.1429,0.6667,0.142857,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,8,True,True,True,finish_success,2,2.0,voltage = current * resistance,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,9,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.8,0.4,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,10,True,True,True,finish_success,3,3.0,voltage = current * resistance,0.6667,0.3333,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,11,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.8,0.4,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,12,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.8,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,13,True,True,True,finish_success,6,6.0,voltage = current * resistance,0.8333,0.3333,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,14,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.2,0.0,0.25,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,15,True,True,True,finish_success,6,6.0,voltage = current * resistance,0.5,0.1667,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,16,True,True,True,finish_success,9,9.0,voltage = current * resistance,0.3333,0.4444,0.375,0.111111,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,17,True,True,True,finish_success,5,5.0,voltage = current * resistance,0.8,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,18,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.75,0.5,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,19,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,20,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.75,0.25,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,21,True,True,True,finish_success,7,7.0,voltage = current * resistance,0.5714,0.2857,1.0,0.142857,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,22,True,True,True,finish_success,6,6.0,voltage = current * resistance,0.5,0.0,0.8,0.166667,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,23,True,True,True,finish_success,6,6.0,voltage = current * resistance,0.8333,0.3333,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-xoqe8iwx-episodes:v0,run-xoqe8iwx-episodes,v0,24,True,True,True,finish_success,4,4.0,voltage = current * resistance,0.75,0.0,1.0,0.25,
