source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,0,False,False,True,finish_wrong,8,,m = V * k,0.625,0.25,0.4286,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,1,False,False,True,finish_wrong,4,,m = k * V,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,2,False,False,True,finish_wrong,6,,m = k * V / 2,0.6667,0.0,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,3,False,False,True,finish_wrong,5,,m = k * V,0.8,0.2,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,4,False,False,True,finish_wrong,6,,m = 240 * V / k,0.8333,0.1667,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,5,False,False,True,finish_wrong,4,,m = 9 * V,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,6,False,False,True,finish_wrong,5,,m = 360 * V,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,7,False,False,True,finish_wrong,5,,m = (rho * V) / k,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,8,False,False,True,finish_wrong,7,,m = V * k,0.8571,0.4286,0.1667,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,9,False,False,True,finish_wrong,4,,m = (rho * V) / k,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,10,False,False,True,finish_wrong,5,,m = (rho * V) / k,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,11,False,False,True,finish_wrong,8,,m = 240 * (V / 10),0.625,0.25,0.2857,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,12,False,False,True,finish_wrong,4,,m = 240 * V / k,0.75,0.25,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,13,False,False,True,finish_wrong,11,,m = -rho * V / k,0.9091,0.5455,0.1,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,14,False,False,True,finish_wrong,6,,m = (V * k) / 1.0,0.8333,0.3333,0.2,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,15,False,False,True,finish_wrong,5,,m = 360 * V * k,0.8,0.2,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,16,False,False,True,finish_wrong,5,,m = rho * V / k,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,17,False,False,True,finish_wrong,7,,m = (V * rho * k) / 2,0.8571,0.1429,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,18,False,False,True,finish_wrong,7,,m = 200 * V,0.8571,0.4286,0.1667,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,19,False,False,True,finish_wrong,4,,m = (rho * V) / k,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,20,False,False,True,finish_wrong,7,,m = 40 * V,0.8571,0.4286,0.1667,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,21,False,False,True,finish_wrong,5,,m = 320.0 * V,0.8,0.4,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,22,False,False,True,finish_wrong,5,,m = 90 * V,0.8,0.2,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,23,False,False,True,finish_wrong,5,,m = (V * k) / rho,0.8,0.2,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,24,False,False,True,finish_wrong,6,,m = rho * V / k,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,25,False,False,True,finish_wrong,9,,m = 280 + 4 * V,0.8889,0.5556,0.125,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,26,False,False,True,finish_wrong,5,,m = (rho * V) / k,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,27,False,False,True,finish_wrong,5,,m = (rho * V) / k,0.6,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,28,True,True,True,finish_success,5,5.0,m = rho * V * k,0.8,0.2,0.5,0.2,
leyao-li-epfl/scientific-exploration/run-ze5d5lho-episodes:v0,run-ze5d5lho-episodes,v0,29,False,False,True,finish_wrong,6,,m = (rho * V * k) / 16,0.8333,0.3333,0.2,0.0,
