source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,0,False,False,True,finish_wrong,6,,Y = 1.5 * A,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,1,False,False,True,finish_wrong,6,,Y = 3.75 * (B + C),0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,2,False,False,True,finish_wrong,9,,Y = 11.0 * A + 5.0 * B + C,0.8889,0.5556,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,3,False,False,True,finish_wrong,6,,Y = 10(A + B + C),0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,4,False,False,True,finish_wrong,4,,Y = A + B + C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,5,False,False,True,finish_wrong,4,,Y = 4*B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,6,False,False,True,finish_wrong,4,,Y = 15 * C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,7,False,False,True,finish_wrong,7,,Y = 70 * (A + B + C),0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,8,False,False,True,finish_wrong,4,,Y = 5C,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,9,False,False,True,finish_wrong,4,,Y = 2B,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,10,False,False,True,finish_wrong,6,,Y = 2(A + C),0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,11,False,False,True,finish_wrong,1,,Y = 10,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,12,False,False,True,finish_wrong,4,,Y = 4A + 2B,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,13,False,False,True,finish_wrong,6,,Y = 10 * B,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,14,False,False,True,finish_wrong,4,,Y = 10.0 * A^2,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,15,False,False,True,finish_wrong,3,,Y = 2 * B,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,16,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,17,False,False,True,finish_wrong,5,,Y = 10 * (A + B + C),0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-ai9z45ho-episodes:v0,run-ai9z45ho-episodes,v0,18,False,False,True,finish_wrong,1,,Y = 10.0,1.0,0.0,0.0,0.0,
