source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,0,False,False,True,finish_wrong,3,,Y = A + 50,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,1,False,False,True,finish_wrong,6,,Y = A + B + C - 50,0.5,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,2,False,False,True,finish_wrong,5,,Y = 2A + 40,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,3,False,False,True,finish_wrong,4,,Y = B + C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,4,False,False,True,finish_wrong,6,,Y = A + 50,0.3333,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,5,True,True,True,finish_success,4,4.0,Y = A + B + C,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,6,False,False,True,finish_wrong,5,,Y = 10A + 10C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,7,True,True,True,finish_success,4,4.0,Y = A + B + C,0.5,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,8,False,False,True,finish_wrong,3,,Y = 50 + A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,9,False,False,True,finish_wrong,4,,Y = 50 + 2A + B + C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,10,False,False,True,finish_wrong,4,,Y = B + 60,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,11,False,False,True,finish_wrong,5,,Y = A + B,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,12,False,False,True,finish_wrong,3,,Y = (1/7.5) * A * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,13,False,False,True,finish_wrong,3,,Y = 2A + 40,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,14,False,False,True,finish_wrong,4,,Y = B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gvdjqmnr-episodes:v0,run-gvdjqmnr-episodes,v0,15,False,False,True,finish_wrong,3,,Y = A + 50,0.6667,0.3333,0.0,0.0,
