source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,0,True,True,True,finish_success,1,1.0,Y = A + B,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,1,False,False,True,finish_wrong,3,,Y = 1.5 * A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,2,False,False,True,finish_wrong,7,,Y = B + 10,0.8571,0.7143,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,3,True,True,True,finish_success,1,1.0,Y = A + B,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,4,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,5,True,True,True,finish_success,3,3.0,Y = A + B,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,6,False,False,True,finish_wrong,7,,Y = 1.5A + B,0.8571,0.5714,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,7,True,True,True,finish_success,6,6.0,Y = A + B,0.6667,0.3333,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,8,False,False,True,finish_wrong,12,,Y = 2 * B + 15,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-62p28dog-episodes:v0,run-62p28dog-episodes,v0,9,False,False,True,finish_wrong,8,,Y = 5A + 5B,0.875,0.625,0.0,0.0,
