source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,0,False,False,True,finish_wrong,49,,position = initial_position / (time * velocity),0.2653,0.8163,0.2917,0.0,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,1,True,True,True,finish_success,62,62.0,position = initial_position + velocity * time,0.7742,0.8871,1.0,0.016129,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,2,True,True,True,finish_success,29,29.0,position = initial_position + velocity * time,0.4828,0.6897,0.6071,0.034483,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,3,True,True,True,finish_success,46,46.0,position = initial_position + velocity * time,0.2391,0.8478,0.2444,0.021739,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,4,True,True,True,finish_success,42,42.0,position = initial_position + velocity * time,0.1667,0.7857,0.1951,0.02381,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,5,True,True,True,finish_success,47,47.0,position = initial_position + velocity * time,0.383,0.7447,0.3913,0.021277,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,6,True,True,True,finish_success,23,23.0,position = initial_position + velocity * time,0.1304,0.5652,0.1364,0.043478,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,7,True,True,True,finish_success,69,69.0,position = initial_position + velocity * time,0.2754,0.8696,0.3235,0.014493,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,8,True,True,True,finish_success,43,43.0,position = initial_position + velocity * time,0.8372,0.8372,1.0,0.023256,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,9,False,False,True,finish_wrong,31,,position = velocity * time,0.2903,0.7419,0.3,0.0,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,10,True,True,True,finish_success,10,10.0,position = initial_position + velocity * time,0.9,0.6,1.0,0.1,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,11,True,True,True,finish_success,51,51.0,position = initial_position + velocity * time,0.2157,0.8235,0.22,0.019608,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,12,True,True,True,finish_success,39,39.0,position = initial_position + velocity * time,0.8205,0.8718,1.0,0.025641,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,13,True,True,True,finish_success,34,34.0,position = initial_position + velocity * time,0.7353,0.7647,0.7576,0.029412,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,14,True,True,True,finish_success,32,32.0,position = initial_position + velocity * time,0.9688,0.8125,1.0,0.03125,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,15,True,True,True,finish_success,10,10.0,position = initial_position + velocity * time,0.4,0.3,0.4444,0.1,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,16,True,True,True,finish_success,17,17.0,position = initial_position + velocity * time,0.5882,0.4706,0.6875,0.058824,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,17,True,True,True,finish_success,14,14.0,position = initial_position + velocity * time,0.8571,0.5,1.0,0.071429,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,18,True,True,True,finish_success,57,57.0,position = initial_position + velocity * time,0.1579,0.8246,0.1607,0.017544,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,19,True,True,True,finish_success,37,37.0,position = initial_position + velocity * time,0.4054,0.7568,0.4444,0.027027,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,20,True,True,True,finish_success,47,47.0,position = velocity * time + initial_position,0.8298,0.8511,1.0,0.021277,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,21,True,True,True,finish_success,11,11.0,position = initial_position + velocity * time,0.5455,0.3636,0.9,0.090909,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,22,True,True,True,finish_success,93,93.0,position = initial_position + velocity * time,0.957,0.9462,1.0,0.010753,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,23,True,True,True,finish_success,27,27.0,position = initial_position + velocity * time,0.7037,0.7037,0.7308,0.037037,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,24,True,True,True,finish_success,23,23.0,position = initial_position + velocity * time,0.3043,0.6522,0.3182,0.043478,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,25,True,True,True,finish_success,14,14.0,position = initial_position + velocity * time,0.3571,0.3571,0.3846,0.071429,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,26,True,True,True,finish_success,21,21.0,position = initial_position + velocity * time,0.8095,0.7143,1.0,0.047619,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,27,True,True,True,finish_success,10,10.0,position = initial_position + velocity * time,0.9,0.7,1.0,0.1,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,28,True,True,True,finish_success,53,53.0,position = initial_position + velocity * time,0.0943,0.8491,0.0962,0.018868,
leyao-li-epfl/scientific-exploration/run-2wot54x9-episodes:v0,run-2wot54x9-episodes,v0,29,True,True,True,finish_success,21,21.0,position = initial_position + velocity * time,0.9048,0.7143,1.0,0.047619,
