source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,0,True,True,True,finish_success,4,4.0,A = epsilon * c * l,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,1,True,True,True,finish_success,5,5.0,A = epsilon * c * l,0.6,0.0,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,2,True,True,True,finish_success,4,4.0,A = epsilon * c * l,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,3,True,True,True,finish_success,5,5.0,A = epsilon * c * l,0.6,0.0,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,4,True,True,True,finish_success,6,6.0,A = epsilon * c * l,0.6667,0.0,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,5,True,True,True,finish_success,4,4.0,A = epsilon * c * l,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,6,True,True,True,finish_success,5,5.0,A = epsilon * c * l,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,7,True,True,True,finish_success,7,7.0,A = epsilon * c * l,0.5714,0.0,0.0,0.142857,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,8,False,False,True,finish_wrong,3,,A = 2 * epsilon,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,9,True,True,True,finish_success,6,6.0,A = epsilon * c * l,0.8333,0.1667,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,10,True,True,True,finish_success,4,4.0,A = epsilon * c * l,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,11,True,True,True,finish_success,5,5.0,A = epsilon * c * l,0.8,0.0,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,12,True,True,True,finish_success,5,5.0,A = epsilon * c * l,0.6,0.0,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-9k14kj65-episodes:v0,run-9k14kj65-episodes,v0,13,True,True,True,finish_success,4,4.0,A = epsilon * c * l,0.75,0.0,0.0,0.25,
