source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,0,True,True,True,finish_success,4,4.0,x = x0 + v * t,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,1,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,2,False,False,True,finish_wrong,6,,x = v * t,0.6667,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,3,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,4,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,5,True,True,True,finish_success,6,6.0,x = v * t + x0,0.8333,0.3333,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,6,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,7,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,8,True,True,True,finish_success,5,5.0,x = x0 + v * t,0.8,0.2,0.0,0.2,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,9,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,10,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,11,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,12,False,False,True,finish_wrong,6,,x = 10.0 * t,0.8333,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,13,True,True,True,finish_success,2,2.0,x = x0 + v * t,0.5,0.0,0.0,0.5,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,14,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,15,True,True,True,finish_success,4,4.0,x = x0 + v * t,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,16,False,False,True,finish_wrong,5,,x = 5 * x0 + 5 * t,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,17,True,True,True,finish_success,1,1.0,x = x0 + v*t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,18,False,False,True,finish_wrong,4,,x = 10 * t + x0,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,19,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-kdonbbzo-episodes:v0,run-kdonbbzo-episodes,v0,20,True,True,True,finish_success,1,1.0,x = x0 + v * t,1.0,0.0,0.0,1.0,
