source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,0,False,False,True,finish_wrong,17,,V = k * I * R,0.1176,0.5882,0.125,0.0,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,1,True,True,True,finish_success,16,16.0,voltage = current * resistance,0.3125,0.4375,0.4667,0.0625,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,2,False,False,True,finish_wrong,21,,V = IR,0.0476,0.7143,0.05,0.0,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,3,True,True,True,finish_success,21,21.0,voltage = resistance * current,0.0952,0.619,0.2,0.047619,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,4,True,True,True,finish_success,42,42.0,voltage = current * resistance,0.2619,0.7857,0.439,0.02381,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,5,True,True,True,finish_success,55,55.0,voltage = current * resistance,0.0727,0.8727,0.0741,0.018182,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,6,False,False,True,finish_wrong,17,,V = IR,0.2941,0.5294,0.3125,0.0,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,7,True,True,True,finish_success,12,12.0,voltage = current * resistance,0.3333,0.4167,0.4545,0.083333,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,8,False,False,True,finish_wrong,12,,V = I * R,0.5,0.5,0.9091,0.0,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,9,False,False,True,finish_wrong,76,,V = 10I,0.0526,0.9079,0.0533,0.0,
leyao-li-epfl/scientific-exploration/run-bl8hkss1-episodes:v0,run-bl8hkss1-episodes,v0,10,False,False,True,finish_wrong,18,,V = IR,0.1667,0.6111,0.3529,0.0,
