source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,0,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,1,False,False,True,finish_wrong,5,,Y = 0.9 * B^2,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,2,False,False,True,finish_wrong,3,,Y = 9 * B^2,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,3,False,False,True,finish_wrong,5,,Y = B * 6,0.6,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,4,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,5,False,False,True,finish_wrong,4,,Y = 12 * B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,6,False,False,False,parse_error,3,,,1.0,0.0,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,7,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,8,True,True,True,finish_success,3,3.0,Y = A * B * C,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,9,False,False,True,finish_wrong,4,,Y = 3.0 * A * B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,10,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,11,False,False,True,finish_wrong,5,,Y = 80 * B * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,12,False,False,True,finish_wrong,3,,Y = 60 * A + 60,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,13,False,False,True,finish_wrong,4,,Y = 6 * B * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,14,False,False,True,finish_wrong,4,,Y = 120 * (A / 3) * (B / 20) * (1 / C),0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,15,False,False,True,finish_wrong,5,,Y = 30B + 30C + 30,0.6,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,16,False,False,True,finish_wrong,3,,Y = 30A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,17,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,18,False,False,True,finish_wrong,3,,Y = 30 * A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,19,False,False,True,finish_wrong,6,,Y = 30 * C,0.6667,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,20,False,False,True,finish_wrong,3,,Y = 18 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,21,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,22,False,False,True,finish_wrong,6,,Y = 3 * B * C,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,23,False,False,True,finish_wrong,7,,Y = 3 * B * C,0.4286,0.1429,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,24,False,False,True,finish_wrong,5,,Y = 3 * B * C,0.6,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,25,False,False,True,finish_wrong,3,,Y = 9 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,26,False,False,True,finish_wrong,5,,Y = 30A + 150,0.4,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,27,False,False,True,finish_wrong,6,,Y = 9*B^2 + 30*C - 90,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,28,False,False,True,finish_wrong,4,,Y = B * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-4mt9u16k-episodes:v0,run-4mt9u16k-episodes,v0,29,False,False,True,finish_wrong,4,,Y = 12 * B,0.75,0.25,0.0,0.0,
