source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,0,False,False,True,finish_wrong,57,,Y = 5A - 3C,0.8947,0.8772,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,1,False,False,True,finish_wrong,33,,Y = 5*B + 40*C,0.5152,0.697,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,2,False,False,True,finish_wrong,36,,Y = 20A + 20B + 420,0.8889,0.8611,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,3,False,False,True,finish_wrong,46,,Y = C,0.087,0.7826,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,4,False,False,False,max_steps,100,,,0.61,0.91,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,5,False,False,True,finish_wrong,42,,Y = 2A + 3B,0.1905,0.6905,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,6,False,False,True,finish_wrong,46,,Y = C + 90,0.2174,0.8261,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,7,False,False,True,finish_wrong,63,,Y = 3B,0.0317,0.8413,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,8,False,False,True,finish_wrong,84,,Y = 10 * C / A,0.9286,0.9167,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-5vrqk3y1-episodes:v0,run-5vrqk3y1-episodes,v0,9,False,False,True,finish_wrong,21,,Y = A + B,0.7143,0.6667,0.0,0.0,
