source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,0,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,1,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,2,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,3,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,4,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,5,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,6,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,7,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,8,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,9,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,10,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.3333,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,11,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,12,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,13,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,14,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,15,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.3333,0.0,0.5,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,16,False,False,True,finish_wrong,4,,1/total_resistance = 1/R1 + 1/R2,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,17,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,18,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,19,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,20,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,21,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,22,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,23,False,False,True,finish_wrong,3,,total_resistance = R1,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,24,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,25,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,26,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,27,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,28,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-0o3ml3h3-episodes:v0,run-0o3ml3h3-episodes,v0,29,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
