source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,0,False,False,True,finish_wrong,50,,V = 180 * I,0.76,0.9,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,1,False,False,True,finish_wrong,46,,V = k * I * R,0.2174,0.8478,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,2,False,False,True,finish_wrong,41,,I=V/R,0.0732,0.8293,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,3,False,False,True,finish_wrong,24,,V = k * I * R,0.25,0.7083,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,4,False,False,True,finish_wrong,57,,V = 110*I*R,0.7544,0.9123,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,5,False,False,False,max_steps,100,,,0.87,0.96,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,6,False,False,True,finish_wrong,14,,V = k * I,0.5,0.5714,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,7,True,True,True,finish_success,40,40.0,V = I * R,0.275,0.775,0.0,0.025,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,8,False,False,True,finish_wrong,54,,V = 10 * I + 20 * R,0.7407,0.9074,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,9,False,False,True,finish_wrong,13,,V = IR,0.8462,0.6154,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,10,False,False,True,finish_wrong,38,,I*R = V,0.4211,0.7632,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,11,False,False,True,finish_wrong,19,,V = 8R,0.5263,0.5789,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,12,True,True,True,finish_success,97,97.0,V = I * R,0.866,0.9485,0.0,0.010309,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,13,True,True,True,finish_success,27,27.0,V = I * R,0.7407,0.8148,0.0,0.037037,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,14,True,True,True,finish_success,40,40.0,V = I * R,0.45,0.8,0.0,0.025,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,15,False,False,True,finish_wrong,22,,V = k * I / R,0.5,0.5909,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,16,False,False,True,finish_wrong,12,,V = k * R,0.5833,0.4167,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-02ca70d9-episodes:v0,run-02ca70d9-episodes,v0,17,False,False,True,finish_wrong,77,,V = 300 * I,0.4805,0.9221,0.0,0.0,
