source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,0,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,1,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,2,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,3,True,True,True,finish_success,3,3.0,V = I * R,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,4,False,False,True,finish_wrong,3,,V = 3 * I * R,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,5,False,False,True,finish_wrong,4,,V = 2 * I * R,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,6,True,True,True,finish_success,4,4.0,V = I * R,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,7,False,False,True,finish_wrong,3,,V = 0.3 * I * R,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,8,False,False,True,finish_wrong,4,,V = 2 * I,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,9,True,True,True,finish_success,4,4.0,V = I * R,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,10,True,True,True,finish_success,3,3.0,V = 1 * I * R,0.6667,0.3333,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,11,False,False,True,finish_wrong,3,,V = 0.3 * I * R,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,12,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,13,False,False,True,finish_wrong,3,,V = 0.2 * I * R,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,14,False,False,True,finish_wrong,3,,V = 2 * I * R,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,15,True,True,True,finish_success,4,4.0,V = I * R,0.75,0.25,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,16,False,False,True,finish_wrong,3,,V = 6 * I * R / 10,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,17,False,False,True,finish_wrong,4,,V = I * 10,0.5,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,18,True,True,True,finish_success,3,3.0,V = I * R,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,19,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,20,True,True,True,finish_success,4,4.0,V = I * R,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,21,True,True,True,finish_success,3,3.0,V = 10 * I * R / 10,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,22,True,True,True,finish_success,3,3.0,V = I * R,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,23,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,24,True,True,True,finish_success,3,3.0,V = 10 * I * R / 10,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,25,True,True,True,finish_success,3,3.0,V = I * R,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,26,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,27,False,False,True,finish_wrong,3,,V = 3 * I * R / 5,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,28,True,True,True,finish_success,3,3.0,V = I * R,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-beqocod8-episodes:v0,run-beqocod8-episodes,v0,29,False,False,True,finish_wrong,3,,V = 10 * I,0.6667,0.3333,0.0,0.0,
