source,formula,task,modality,prompt_condition,condition,model,run_index,project_name,artifact_name,root_dir,run_dir,steps_path,summary_path,trajectory_path,interaction_log_path,model_family,model_size,episode_id,aligned_sequence,trace,aligned_sequence_str,trace_str,raw_sequence,raw_sequence_str,length,n_unique_actions,contains_finish,finish_step,n_finish,finish_is_last,one_step_finish,has_action_after_finish,n_increase,n_decrease,n_wavelength_actions,n_concentration_actions,n_path_length_actions,n_reversal,first_action,last_action,dominant_action,dominant_variable,action_entropy,n_unknown_action,n_invalid_action,contains_unknown,contains_invalid,finish_reached,forced_finish,parse_error,num_steps,finish_step_id,termination_type,included_in_hmm_main,exclusion_reason
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,7,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_3b-07_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-07_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-07_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-07_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-07_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-07_latest\interaction_log.json,qwen25_vl,3b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_3b__run07,"[""increase_wavelength"", ""increase_concentration"", ""increase_path_length"", ""decrease_concentration"", ""decrease_concentration"", ""decrease_wavelength"", ""decrease_wavelength"", ""decrease_wavelength"", ""finish""]","[""increase_wavelength"", ""increase_concentration"", ""increase_path_length"", ""decrease_concentration"", ""decrease_concentration"", ""decrease_wavelength"", ""decrease_wavelength"", ""decrease_wavelength"", ""finish""]",increase_wavelength -> increase_concentration -> increase_path_length -> decrease_concentration -> decrease_concentration -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> finish,increase_wavelength -> increase_concentration -> increase_path_length -> decrease_concentration -> decrease_concentration -> decrease_wavelength -> decrease_wavelength -> decrease_wavelength -> finish,"[""increase wavelength"", ""increase concentration"", ""increase path_length"", ""decrease concentration"", ""decrease concentration"", ""decrease wavelength"", ""decrease wavelength"", ""decrease wavelength"", ""finish""]",increase wavelength -> increase concentration -> increase path_length -> decrease concentration -> decrease concentration -> decrease wavelength -> decrease wavelength -> decrease wavelength -> finish,9,6,True,8.0,1,True,False,False,3,5,4,3,1,0,increase_wavelength,finish,decrease_wavelength,wavelength,2.4193819456463714,0,0,False,False,True,False,,9,8,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,8,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_3b-08_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-08_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-08_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-08_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-08_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-08_latest\interaction_log.json,qwen25_vl,3b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_3b__run08,"[""increase_wavelength"", ""increase_wavelength"", ""decrease_wavelength"", ""decrease_concentration"", ""finish""]","[""increase_wavelength"", ""increase_wavelength"", ""decrease_wavelength"", ""decrease_concentration"", ""finish""]",increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> finish,increase_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> finish,"[""increase wavelength"", ""increase wavelength"", ""decrease wavelength"", ""decrease concentration"", ""finish""]",increase wavelength -> increase wavelength -> decrease wavelength -> decrease concentration -> finish,5,4,True,4.0,1,True,False,False,2,2,3,1,0,1,increase_wavelength,finish,increase_wavelength,wavelength,1.9219280948873623,0,0,False,False,True,False,,5,4,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,4,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_7b-04_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-04_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-04_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-04_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-04_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-04_latest\interaction_log.json,qwen25_vl,7b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_7b__run04,"[""finish""]","[""finish""]",finish,finish,"[""finish""]",finish,1,1,True,0.0,1,True,True,False,0,0,0,0,0,0,finish,finish,,,0.0,0,0,False,False,True,False,,1,0,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,2,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_3b-02_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-02_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-02_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-02_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-02_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-02_latest\interaction_log.json,qwen25_vl,3b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_3b__run02,"[""increase_wavelength"", ""decrease_concentration"", ""decrease_concentration"", ""decrease_path_length"", ""finish""]","[""increase_wavelength"", ""decrease_concentration"", ""decrease_concentration"", ""decrease_path_length"", ""finish""]",increase_wavelength -> decrease_concentration -> decrease_concentration -> decrease_path_length -> finish,increase_wavelength -> decrease_concentration -> decrease_concentration -> decrease_path_length -> finish,"[""increase wavelength"", ""decrease concentration"", ""decrease concentration"", ""decrease path_length"", ""finish""]",increase wavelength -> decrease concentration -> decrease concentration -> decrease path_length -> finish,5,4,True,4.0,1,True,False,False,1,3,1,2,1,0,increase_wavelength,finish,decrease_concentration,concentration,1.9219280948873623,0,0,False,False,True,False,,5,4,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,6,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-06_latest\interaction_log.json,qwen25_vl,3b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_3b__run06,"[""increase_concentration"", ""decrease_wavelength"", ""decrease_path_length"", ""decrease_wavelength"", ""increase_wavelength"", ""decrease_wavelength"", ""decrease_concentration"", ""finish""]","[""increase_concentration"", ""decrease_wavelength"", ""decrease_path_length"", ""decrease_wavelength"", ""increase_wavelength"", ""decrease_wavelength"", ""decrease_concentration"", ""finish""]",increase_concentration -> decrease_wavelength -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> finish,increase_concentration -> decrease_wavelength -> decrease_path_length -> decrease_wavelength -> increase_wavelength -> decrease_wavelength -> decrease_concentration -> finish,"[""increase concentration"", ""decrease wavelength"", ""decrease path_length"", ""decrease wavelength"", ""increase wavelength"", ""decrease wavelength"", ""decrease concentration"", ""finish""]",increase concentration -> decrease wavelength -> decrease path_length -> decrease wavelength -> increase wavelength -> decrease wavelength -> decrease concentration -> finish,8,6,True,7.0,1,True,False,False,2,5,4,2,1,2,increase_concentration,finish,decrease_wavelength,wavelength,2.4056390622295662,0,0,False,False,True,False,,8,7,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,5,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-05_latest\interaction_log.json,qwen25_vl,7b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_7b__run05,"[""increase_concentration"", ""increase_concentration"", ""finish""]","[""increase_concentration"", ""increase_concentration"", ""finish""]",increase_concentration -> increase_concentration -> finish,increase_concentration -> increase_concentration -> finish,"[""increase concentration"", ""increase concentration"", ""finish""]",increase concentration -> increase concentration -> finish,3,2,True,2.0,1,True,False,False,2,0,0,2,0,0,increase_concentration,finish,increase_concentration,concentration,0.9182958340544896,0,0,False,False,True,False,,3,2,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,1,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-01_latest\interaction_log.json,qwen25_vl,7b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_7b__run01,"[""increase_wavelength"", ""increase_concentration"", ""increase_concentration"", ""increase_path_length"", ""increase_wavelength"", ""decrease_wavelength"", ""increase_concentration"", ""increase_concentration"", ""increase_concentration"", ""finish""]","[""increase_wavelength"", ""increase_concentration"", ""increase_concentration"", ""increase_path_length"", ""increase_wavelength"", ""decrease_wavelength"", ""increase_concentration"", ""increase_concentration"", ""increase_concentration"", ""finish""]",increase_wavelength -> increase_concentration -> increase_concentration -> increase_path_length -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> increase_concentration -> finish,increase_wavelength -> increase_concentration -> increase_concentration -> increase_path_length -> increase_wavelength -> decrease_wavelength -> increase_concentration -> increase_concentration -> increase_concentration -> finish,"[""increase wavelength"", ""increase concentration"", ""increase concentration"", ""increase path_length"", ""increase wavelength"", ""decrease wavelength"", ""increase concentration"", ""increase concentration"", ""increase concentration"", ""finish""]",increase wavelength -> increase concentration -> increase concentration -> increase path_length -> increase wavelength -> decrease wavelength -> increase concentration -> increase concentration -> increase concentration -> finish,10,5,True,9.0,1,True,False,False,8,1,3,5,1,1,increase_wavelength,finish,increase_concentration,concentration,1.9609640474436814,0,0,False,False,True,False,,10,9,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,0,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-00_latest\interaction_log.json,qwen25_vl,7b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_7b__run00,"[""increase_wavelength"", ""finish""]","[""increase_wavelength"", ""finish""]",increase_wavelength -> finish,increase_wavelength -> finish,"[""increase wavelength"", ""increase orange"", ""finish""]",increase wavelength -> increase orange -> finish,2,2,True,1.0,1,True,False,False,1,0,1,0,0,0,increase_wavelength,finish,increase_wavelength,wavelength,1.0,0,1,False,True,True,False,,3,2,invalid_steps,False,has_invalid_steps
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_7b,8,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_7b-08_latest\interaction_log.json,qwen25_vl,7b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_7b__run08,"[""increase_path_length"", ""decrease_path_length"", ""decrease_path_length"", ""finish""]","[""increase_path_length"", ""decrease_path_length"", ""decrease_path_length"", ""finish""]",increase_path_length -> decrease_path_length -> decrease_path_length -> finish,increase_path_length -> decrease_path_length -> decrease_path_length -> finish,"[""increase path_length"", ""decrease path_length"", ""decrease path_length"", ""finish""]",increase path_length -> decrease path_length -> decrease path_length -> finish,4,3,True,3.0,1,True,False,False,1,2,0,0,3,1,increase_path_length,finish,decrease_path_length,path_length,1.5,0,0,False,False,True,False,,4,3,model_finish,True,
model,beers,beers_wavelength,chart_only,student,chart_only_student,qwen25_vl_3b,3,scientific-exploration-increase-student-simulation-chart-student,episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest\steps.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest\summary.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest\trajectory.json,\home\lly\projects\project\wandb_downloads_student_simulation_5projects\scientific-exploration-increase-student-simulation-chart-student\artifacts\episode-chart_student_beers_wavelength_model_qwen25_vl_3b-03_latest\interaction_log.json,qwen25_vl,3b,model__scientific-exploration-increase-student-simulation-chart-student__chart_only__student__beers_wavelength__qwen25_vl_3b__run03,"[""increase_wavelength"", ""increase_wavelength"", ""increase_wavelength"", ""increase_wavelength"", ""finish""]","[""increase_wavelength"", ""increase_wavelength"", ""increase_wavelength"", ""increase_wavelength"", ""finish""]",increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> finish,increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_wavelength -> finish,"[""increase wavelength"", ""increase wavelength"", ""increase wavelength"", ""increase wavelength"", ""finish""]",increase wavelength -> increase wavelength -> increase wavelength -> increase wavelength -> finish,5,2,True,4.0,1,True,False,False,4,0,4,0,0,0,increase_wavelength,finish,increase_wavelength,wavelength,0.7219280948873623,0,0,False,False,True,False,,5,4,model_finish,True,
