source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,0,False,False,True,finish_wrong,4,,A = 2 * epsilon,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,1,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,2,False,False,True,finish_wrong,1,,A = epsilon,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,3,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,4,False,False,True,finish_wrong,7,,A = 6 * epsilon,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,5,False,False,True,finish_wrong,4,,A = epsilon,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,6,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,7,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,8,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,9,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,10,False,False,True,finish_wrong,5,,A = epsilon,0.8,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,11,False,False,True,finish_wrong,7,,A = 6.0 * c,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,12,False,False,True,finish_wrong,4,,A = 2.0 * 3.0 * 2.0,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,13,False,False,True,finish_wrong,6,,A = (epsilon + c + l) * 6,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,14,False,False,True,finish_wrong,4,,A = 6,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,15,False,False,True,finish_wrong,5,,A = 2^l,0.8,0.4,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,16,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,17,False,False,True,finish_wrong,6,,A = 3 * c * l,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,18,False,False,True,finish_wrong,4,,A = 2 * c,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,19,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,20,False,False,True,finish_wrong,5,,A = 2.0 * 2.0 * c,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,21,False,False,True,finish_wrong,7,,A = k * epsilon * c,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,22,False,False,True,finish_wrong,6,,A = 8 * epsilon * c,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,23,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,24,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,25,False,False,True,finish_wrong,5,,A = 6 * l,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,26,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,27,False,False,True,finish_wrong,6,,A = 2 * epsilon,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,28,False,False,True,finish_wrong,1,,A = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-e92pesmg-episodes:v0,run-e92pesmg-episodes,v0,29,False,False,True,finish_wrong,6,,A = 2.5 * epsilon,0.8333,0.5,0.0,0.0,
