source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,0,False,False,True,finish_wrong,5,,Y2 = k * A^3 * B^3 * C^3,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,1,False,False,False,parse_error,0,,,0.0,0.0,0.0,0.0,final_equation must be provided when step_type='finish'
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,2,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,3,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,4,False,False,True,finish_wrong,6,,Y2 = 4 * (B + C),0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,5,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,6,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,7,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,8,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,9,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,10,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,11,False,False,True,finish_wrong,5,,Y2 = 6.0*B + 6.0*C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,12,False,False,True,finish_wrong,6,,Y2 = 6 * (A + B),0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,13,False,False,True,finish_wrong,5,,Y2 = 2.0 * C + 6.0,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,14,False,False,True,finish_wrong,6,,Y2 = 2.0 * C,0.8333,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,15,False,False,True,finish_wrong,3,,Y2 = 6 * C^2,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,16,False,False,True,finish_wrong,3,,Y2 = 2*A,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,17,False,False,True,finish_wrong,6,,Y2 = 6 * A,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,18,False,False,True,finish_wrong,7,,Y2 = 2 * C,0.8571,0.7143,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,19,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,20,False,False,True,finish_wrong,6,,Y2 = 9 * A * B * C,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,21,True,True,True,finish_success,6,6.0,Y2 = A * B * C,0.8333,0.3333,0.0,0.166667,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,22,False,False,True,finish_wrong,5,,Y2 = 2 * A - 2,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-gxq4s7qw-episodes:v0,run-gxq4s7qw-episodes,v0,23,False,False,True,finish_wrong,1,,Y2 = 2.0,1.0,0.0,0.0,0.0,
