input_root,relative_run_dir,run_dir,simulation_type_guess,n_raw_actions,n_beer_aligned_actions,n_beer_nonfinish_actions,finish_reached,finish_step_id,num_steps,forced_finish,parse_error,raw_trace_str,beer_aligned_trace_str
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-03_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-03_latest,concentration,48,1,0,True,47,48,False,,increase_solute_amount -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solute_amount -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solute_amount -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> finish,finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-07_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-07_latest,concentration,13,1,0,True,12,13,False,,increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solute_amount -> finish,finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl7b-06_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl7b-06_latest,concentration,3,1,0,True,2,3,False,,increase_solute_amount -> increase_solution_volume -> finish,finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-08_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-08_latest,concentration,27,1,0,True,26,27,False,,increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solute_amount -> increase_solution_volume -> increase_solute_amount -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> increase_solution_volume -> finish,finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-05_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_concentration_qwen25vl3b-05_latest,concentration,18,1,0,True,17,18,False,,increase_solute_amount -> increase_solute_amount -> decrease_solute_amount -> decrease_solute_amount -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> decrease_solution_volume -> finish,finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl3b-09_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl3b-09_latest,beer,5,5,4,True,4,5,False,,increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_concentration -> finish,increase_wavelength -> increase_wavelength -> increase_wavelength -> increase_concentration -> finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl7b-08_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl7b-08_latest,beer,5,5,4,True,4,5,False,,increase_concentration -> increase_path_length -> increase_path_length -> decrease_path_length -> finish,increase_concentration -> increase_path_length -> increase_path_length -> decrease_path_length -> finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl7b-06_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl7b-06_latest,beer,4,4,3,True,3,4,False,,increase_concentration -> increase_path_length -> increase_wavelength -> finish,increase_concentration -> increase_path_length -> increase_wavelength -> finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl3b-00_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl3b-00_latest,beer,6,6,5,True,5,6,False,,increase_wavelength -> increase_path_length -> increase_path_length -> increase_path_length -> increase_concentration -> finish,increase_wavelength -> increase_path_length -> increase_path_length -> increase_path_length -> increase_concentration -> finish
wandb_downloads_student_simulation,scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl3b-06_latest,\\wsl.localhost\Ubuntu\home\lly\projects\project\wandb_downloads_student_simulation\scientific-exploration-increase-student-simulation\artifacts\episode-student_beers_wavelength_qwen25vl3b-06_latest,beer,4,4,3,True,3,4,False,,increase_wavelength -> decrease_wavelength -> increase_concentration -> finish,increase_wavelength -> decrease_wavelength -> increase_concentration -> finish
