source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,0,True,True,True,finish_success,24,24.0,total_resistance = R1 + R2,0.75,0.7917,1.0,0.041667,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,1,False,False,True,finish_wrong,25,,total_resistance = k * R1 * R2,0.2,0.72,0.2083,0.0,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,2,True,True,True,finish_success,10,10.0,total_resistance = R1 + R2,0.5,0.5,0.5556,0.1,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,3,True,True,True,finish_success,39,39.0,total_resistance = R1 + R2,0.8205,0.8718,1.0,0.025641,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,4,False,False,False,max_steps,100,,,0.91,0.96,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,5,True,True,True,finish_success,8,8.0,total_resistance = R1 + R2,0.625,0.375,1.0,0.125,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,6,True,True,True,finish_success,9,9.0,total_resistance = R1 + R2,0.4444,0.2222,0.75,0.111111,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,7,True,True,True,finish_success,84,84.0,total_resistance = R1 + R2,0.8571,0.9405,1.0,0.011905,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,8,False,False,True,finish_wrong,47,,total_resistance = 1 / (1 / R1 + 1 / R2),0.5106,0.8723,0.9783,0.0,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,9,False,False,False,parse_error,10,,,0.7,0.5,0.8,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,10,True,True,True,finish_success,18,18.0,total_resistance = R1 + R2,0.3889,0.7222,1.0,0.055556,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,11,True,True,True,finish_success,15,15.0,total_resistance = R1 + R2,0.7333,0.6667,1.0,0.066667,
leyao-li-epfl/scientific-exploration/run-3a5hrtl3-episodes:v0,run-3a5hrtl3-episodes,v0,12,False,False,True,finish_wrong,52,,R1 + R2 = total_resistance,0.8846,0.8846,0.9804,0.0,
