source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,0,False,False,True,finish_wrong,59,,Y = 70B + 4200,0.9153,0.8814,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,1,False,False,True,finish_wrong,49,,Y = A * B * 3.375,0.7959,0.8163,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,2,False,False,True,finish_wrong,37,,Y = k*A*B*C,0.8919,0.8108,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,3,False,False,True,finish_wrong,9,,Y = k*C,0.4444,0.1111,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,4,False,False,True,finish_wrong,19,,Y = 30A + 90B + 60C,0.7368,0.6316,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,5,True,True,True,finish_success,14,14.0,Y = A * B * C,0.7857,0.5714,0.0,0.071429,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,6,False,False,False,parse_error,5,,,0.8,0.2,0.0,0.0,'action.variable' is required when action is provided
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,7,False,False,False,max_steps,100,,,0.1,0.91,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,8,False,False,True,finish_wrong,55,,Y = 600A,0.7818,0.8727,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,9,False,False,True,finish_wrong,28,,Y = 4A + 20B + 15C,0.7143,0.6429,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,10,False,False,True,finish_wrong,24,,Y = 60C,0.5,0.7083,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,11,False,False,False,max_steps,100,,,0.9,0.94,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,12,False,False,True,finish_wrong,43,,Y = 300B + 8C,0.6977,0.7674,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,13,False,False,True,finish_wrong,42,,Y = 50*A + 5*C,0.619,0.8333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,14,False,False,True,finish_wrong,46,,Y = -165 + 15A - 110B - 1C,0.7826,0.8478,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,15,False,False,True,finish_wrong,21,,Y = 81 * B,0.7619,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,16,False,False,True,finish_wrong,16,,Y = B^2,0.75,0.5625,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,17,False,False,True,finish_wrong,91,,Y = 3000A + 100B + 0C + 0,0.8901,0.9231,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,18,False,False,True,finish_wrong,29,,A * B = Y,0.6207,0.6552,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,19,False,False,True,finish_wrong,56,,Y = 3.6 * B,0.9107,0.875,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,20,False,False,True,finish_wrong,31,,Y = 80 + 40 * C,0.7742,0.7742,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,21,False,False,True,finish_wrong,40,,Y = 3500 + 700 * C,0.9,0.85,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,22,False,False,True,finish_wrong,11,,Y = 20*A + 400*B,0.6364,0.4545,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,23,False,False,True,finish_wrong,17,,Y = 42B,0.7059,0.6471,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,24,False,False,False,max_steps,100,,,0.1,0.93,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,25,False,False,True,finish_wrong,19,,Y = k * (B * C) / A,0.8421,0.6316,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,26,False,False,True,finish_wrong,33,,Y = 280 + 40*B + 20*C,0.7273,0.7879,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,27,False,False,True,finish_wrong,25,,Y = -40B/A,0.96,0.72,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,28,False,False,True,finish_wrong,32,,Y = 100C,0.4375,0.75,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-mezpvlii-episodes:v0,run-mezpvlii-episodes,v0,29,False,False,True,finish_wrong,68,,Y = 260 * B * C,0.7206,0.8382,0.0,0.0,
