source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,0,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,1,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,2,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.25,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,3,False,False,True,finish_wrong,2,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.5,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,4,False,False,True,finish_wrong,5,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.8,0.2,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,5,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,6,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,7,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,8,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,9,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,10,False,False,True,finish_wrong,5,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.8,0.4,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,11,True,True,True,finish_success,8,8.0,absorbance = molar_absorptivity * concentration * path_length,0.875,0.5,1.0,0.125,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,12,False,False,True,finish_wrong,7,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.7143,0.2857,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,13,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,14,True,True,True,finish_success,5,5.0,absorbance = molar_absorptivity * concentration * path_length,0.8,0.0,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,15,False,False,True,finish_wrong,4,,Absorbance = Molar Absorptivity * Concentration * Path Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,16,True,True,True,finish_success,5,5.0,absorbance = molar_absorptivity * concentration * path_length,0.8,0.0,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,17,False,False,True,finish_wrong,5,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.8,0.2,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,18,False,False,True,finish_wrong,10,,absorbance = molar_absorptivity * concentration / path_length,0.9,0.6,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,19,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,20,True,True,True,finish_success,9,9.0,absorbance = molar_absorptivity * concentration * path_length,0.8889,0.5556,1.0,0.111111,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,21,True,True,True,finish_success,6,6.0,absorbance = molar_absorptivity * concentration * path_length,0.8333,0.3333,1.0,0.166667,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,22,False,False,True,finish_wrong,5,,Absorbance = Molar_absorptivity * Concentration * Path_length,0.8,0.4,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,23,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,24,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,25,True,True,True,finish_success,4,4.0,absorbance = molar_absorptivity * concentration * path_length,0.75,0.0,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,26,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,27,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,28,False,False,True,finish_wrong,4,,Absorbance = Molar_Absorptivity * Concentration * Path_Length,0.75,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-iakk1f6y-episodes:v0,run-iakk1f6y-episodes,v0,29,True,True,True,finish_success,5,5.0,absorbance = molar_absorptivity * concentration * path_length,0.8,0.2,1.0,0.2,
