source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,0,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,1,False,False,True,finish_wrong,3,,1/total_resistance = 1/R1 + 1/R2,0.6667,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,2,True,True,True,finish_success,2,2.0,total_resistance = R1 + R2,0.5,0.0,1.0,0.5,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,3,True,True,True,finish_success,1,1.0,R_total = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,4,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,5,False,False,True,finish_wrong,1,,R1 + R2 = total_resistance,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,6,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,7,True,True,True,finish_success,5,5.0,total_resistance = R1 + R2,0.8,0.2,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,8,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,9,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,10,False,False,True,finish_wrong,1,,total_resistance = 1 / (1/R1 + 1/R2),1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,11,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,12,False,False,True,finish_wrong,5,,total_resistance = 10.0 + 2.5 * R2,0.6,0.4,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,13,True,True,True,finish_success,1,1.0,R_total = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,14,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,15,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,16,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,17,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,18,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,19,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,20,True,True,True,finish_success,5,5.0,total_resistance = R1 + R2,0.8,0.4,1.0,0.2,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,21,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,22,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,23,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,24,True,True,True,finish_success,4,4.0,total_resistance = R1 + R2,0.75,0.25,1.0,0.25,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,25,True,True,True,finish_success,3,3.0,total_resistance = R1 + R2,0.6667,0.0,1.0,0.333333,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,26,False,False,True,finish_wrong,2,,R1 + R2 = total_resistance,0.5,0.0,1.0,0.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,27,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,28,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-7i3lwokj-episodes:v0,run-7i3lwokj-episodes,v0,29,True,True,True,finish_success,1,1.0,total_resistance = R1 + R2,1.0,0.0,0.0,1.0,
