source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,0,False,False,True,finish_wrong,4,,m = 3 * V * k,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,1,False,False,True,finish_wrong,5,,m = 30 * rho,0.4,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,2,False,False,True,finish_wrong,5,,m = 9 * V + (k - 3) * 30,0.6,0.0,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,3,True,True,True,finish_success,4,4.0,m = rho * V * k,0.75,0.0,0.3333,0.25,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,4,False,False,True,finish_wrong,4,,m = 9 * V^2 / 10,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,5,False,False,True,finish_wrong,4,,m = 3 * V * k,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,6,False,False,True,finish_wrong,4,,m = 3.0 * V,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,7,False,False,True,finish_wrong,5,,m = 3 * rho * V,0.6,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,8,False,False,True,finish_wrong,4,,m = 9 * V,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,9,False,False,True,finish_wrong,3,,m = 20.0 * rho * k,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,10,False,False,True,finish_wrong,3,,m = 9 * V,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,11,False,False,True,finish_wrong,5,,m = 9 * V,0.6,0.0,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,12,False,False,True,finish_wrong,4,,m = rho * k * V / 20,0.75,0.0,0.3333,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,13,True,True,True,finish_success,4,4.0,m = rho * V * k,0.75,0.0,0.3333,0.25,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,14,False,False,True,finish_wrong,4,,m = 12 * V,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,15,False,False,True,finish_wrong,4,,m = 60 * rho,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,16,False,False,True,finish_wrong,5,,m = 6 * V,0.6,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,17,False,False,True,finish_wrong,3,,m = V * 9.0,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,18,False,False,True,finish_wrong,3,,m = 9 * V,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,19,False,False,True,finish_wrong,3,,m = 30 * rho,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,20,False,False,True,finish_wrong,3,,m = 30 * rho,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,21,False,False,True,finish_wrong,3,,m = k * V,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,22,False,False,True,finish_wrong,4,,m = 12 * V,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,23,False,False,True,finish_wrong,3,,m = rho * k * 60,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,24,True,True,True,finish_success,4,4.0,m = rho * V * k,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,25,False,False,True,finish_wrong,5,,m = 9 * V * k,0.6,0.0,0.5,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,26,True,True,True,finish_success,3,3.0,m = rho * V * k,0.6667,0.0,0.0,0.333333,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,27,False,False,True,finish_wrong,5,,m = 20 * rho * V / k,0.8,0.0,0.25,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,28,False,False,True,finish_wrong,3,,m = 9 * rho + 90,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-b3ix3yxy-episodes:v0,run-b3ix3yxy-episodes,v0,29,False,False,True,finish_wrong,5,,m = 30 * V^2 * k,0.6,0.0,0.25,0.0,
