source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,0,False,False,True,finish_wrong,8,,Y = k*B,0.5,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,1,False,False,True,finish_wrong,40,,Y = 10A + 10B + 10C,0.8,0.825,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,2,False,False,True,finish_wrong,27,,Y = k / A + m * B + n * C,0.8148,0.7407,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,3,False,False,False,max_steps,100,,,0.07,0.9,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,4,False,False,True,finish_wrong,19,,Y = 2*A + 3*B - 40,0.8421,0.6316,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,5,False,False,True,finish_wrong,45,,Y = A + 2*C,0.8222,0.8444,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,6,False,False,True,finish_wrong,46,,Y = 10B,0.2609,0.8261,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,7,False,False,True,finish_wrong,11,,Y = A + 10,0.5455,0.3636,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,8,False,False,True,finish_wrong,34,,Y = 260 + 10B + 10C,0.8529,0.7941,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,9,False,False,True,finish_wrong,24,,Y = 2*A + 3*B + C,0.875,0.7083,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,10,False,False,False,max_steps,100,,,0.93,0.95,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,11,False,False,True,finish_wrong,78,,Y = 10C,0.7179,0.8974,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,12,False,False,False,max_steps,100,,,0.09,0.91,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,13,False,False,True,finish_wrong,38,,Y = 2C^2 + 10B + 20A,0.7105,0.7368,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,14,False,False,True,finish_wrong,45,,Y = 10*A + 10*C,0.8667,0.8667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,15,False,False,True,finish_wrong,38,,Y = 5A,0.8421,0.8158,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,16,False,False,False,parse_error,12,,,0.6667,0.5833,0.0,0.0,'action' must be provided when step_type='action'
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,17,False,False,True,finish_wrong,47,,Y = 10*A + 30,0.8511,0.8511,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,18,False,False,True,finish_wrong,40,,Y = 2.5C,0.6,0.825,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,19,False,False,True,finish_wrong,36,,Y = A,0.1944,0.75,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,20,False,False,False,max_steps,100,,,0.42,0.9,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,21,False,False,True,finish_wrong,44,,Y = 10 * A,0.75,0.8409,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,22,False,False,True,finish_wrong,84,,Y = 10*A + 200,0.8214,0.9167,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,23,False,False,True,finish_wrong,18,,Y = A + C,0.7778,0.6111,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,24,False,False,True,finish_wrong,22,,Y = k / (A * C) * B,0.7273,0.6818,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,25,False,False,True,finish_wrong,49,,Y = 2 * B,0.1633,0.7959,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,26,False,False,False,max_steps,100,,,0.49,0.94,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,27,False,False,True,finish_wrong,16,,Y = 10*B + 10*C + 10*A,0.4375,0.375,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,28,False,False,True,finish_wrong,65,,Y = 10*A + 20*B,0.3692,0.8308,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-3gfxuwuj-episodes:v0,run-3gfxuwuj-episodes,v0,29,False,False,True,finish_wrong,41,,Y = 2 * B + 50,0.9024,0.8537,0.0,0.0,
