source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,0,False,False,True,finish_wrong,3,,Y2 = 2 * A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,1,False,False,True,finish_wrong,7,,Y2 = 3 * C,0.8571,0.2857,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,2,False,False,True,finish_wrong,4,,Y2 = 6 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,3,False,False,True,finish_wrong,5,,Y2 = 3 * B,0.8,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,4,False,False,True,finish_wrong,4,,Y2 = 2 * A * B,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,5,False,False,True,finish_wrong,4,,Y2 = 6 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,6,False,False,True,finish_wrong,6,,Y2 = B,0.8333,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,7,True,True,True,finish_success,4,4.0,Y2 = A * B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,8,False,False,True,finish_wrong,4,,Y2 = 6 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,9,False,False,True,finish_wrong,4,,Y2 = 2 * A * B + C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,10,False,False,True,finish_wrong,4,,Y2 = 3 * B + 2 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-6n5grvc2-episodes:v0,run-6n5grvc2-episodes,v0,11,False,False,True,finish_wrong,5,,Y2 = 3 * A * B,0.8,0.2,0.0,0.0,
