source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,0,False,False,True,finish_wrong,17,,Y = 5A,0.4118,0.7059,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,1,False,False,True,finish_wrong,40,,Y = 90 * B + 5,0.625,0.775,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,2,False,False,True,finish_wrong,6,,Y = 1.25*A + 5*B,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,3,False,False,False,max_steps,100,,,0.91,0.96,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,4,True,True,True,finish_success,94,94.0,Y = A + B,0.9043,0.9574,0.0,0.010638,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,5,False,False,False,max_steps,100,,,0.97,0.96,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,6,False,False,True,finish_wrong,18,,Y = -A + 2B + 10,0.4444,0.7222,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,7,False,False,False,max_steps,100,,,0.87,0.96,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,8,False,False,False,max_steps,100,,,0.16,0.94,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,9,False,False,False,max_steps,100,,,0.96,0.96,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,10,True,True,True,finish_success,65,65.0,Y = A + B,0.8462,0.9231,0.0,0.015385,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,11,False,False,True,finish_wrong,31,,Y = A,0.0968,0.7419,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,12,False,False,True,finish_wrong,26,,Y = A + 25,0.3077,0.6923,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,13,False,False,True,finish_wrong,85,,Y = 5B + 50,0.3765,0.9059,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,14,False,False,True,finish_wrong,64,,Y = 2*A + B,0.25,0.875,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,15,False,False,True,finish_wrong,10,,Y = 5A + 5B,0.6,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,16,False,False,True,finish_wrong,31,,Y = 2A,0.6774,0.8387,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,17,False,False,True,finish_wrong,32,,Y = 2A - 3B + 10,0.4688,0.7188,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,18,False,False,True,finish_wrong,34,,Y = 5A,0.5,0.7647,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,19,False,False,True,finish_wrong,37,,Y = 40 * constant + B * 1,0.7568,0.8649,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,20,False,False,True,finish_wrong,60,,Y = A * B,0.7667,0.9167,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,21,False,False,True,finish_wrong,50,,Y = 1.25*A + 2.5*B,0.8,0.9,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,22,False,False,True,finish_wrong,63,,Y = 5 * A,0.381,0.8889,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,23,False,False,True,finish_wrong,56,,Y = 5B,0.1786,0.875,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,24,False,False,True,finish_wrong,41,,Y = 1.5A + 3.75B,0.7073,0.878,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,25,False,False,True,finish_wrong,16,,Y = kA,0.5,0.5625,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,26,False,False,False,max_steps,100,,,0.83,0.96,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,27,False,False,True,finish_wrong,40,,Y = C,0.15,0.75,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,28,False,False,True,finish_wrong,65,,Y = 5*A + 240,0.8462,0.9231,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-g6ak5q0b-episodes:v0,run-g6ak5q0b-episodes,v0,29,False,False,False,max_steps,100,,,0.08,0.92,0.0,0.0,
