source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,0,False,False,True,finish_wrong,5,,Y = 0.125 * A * B * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,1,False,False,True,finish_wrong,4,,Y = 10 * A + 10 * B,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,2,False,False,True,finish_wrong,4,,Y = A * B * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,3,False,False,True,finish_wrong,4,,Y = 10 * A + 10 * B + 3 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,4,False,False,True,finish_wrong,4,,Y = 10 * A + 0 * B + 0 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,5,False,False,True,finish_wrong,5,,Y = 10 * A + 10 * B + 2 * C,0.6,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,6,False,False,True,finish_wrong,8,,Y = A + B + 8*C,0.875,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,7,False,False,True,finish_wrong,5,,Y = 2 * A + C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,8,False,False,True,finish_wrong,7,,Y = A * C,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,9,False,False,True,finish_wrong,3,,Y = 1.5 * A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,10,False,False,True,finish_wrong,9,,Y = 12.5 * C,0.5556,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,11,False,False,True,finish_wrong,3,,Y = 1.5 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,12,False,False,True,finish_wrong,3,,Y = A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,13,False,False,True,finish_wrong,5,,Y = 5 * B,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,14,False,False,True,finish_wrong,4,,Y = 10 * (A + B + C),0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,15,False,False,True,finish_wrong,4,,Y = A * B * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,16,False,False,True,finish_wrong,7,,Y = A,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,17,False,False,True,finish_wrong,4,,Y = B * C,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,18,False,False,True,finish_wrong,4,,Y = A + B,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,19,False,False,True,finish_wrong,5,,Y = 2 * A + 5 * B + C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,20,False,False,True,finish_wrong,7,,Y = 10A + 10B + 7C,0.8571,0.4286,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,21,False,False,True,finish_wrong,4,,Y = 13.33C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,22,True,True,True,finish_success,4,4.0,Y = A + B * C,0.75,0.0,0.0,0.25,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,23,False,False,True,finish_wrong,5,,Y = 10 * A + 10 * B + 4 * C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,24,False,False,True,finish_wrong,5,,Y = (A * B) / C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,25,False,False,True,finish_wrong,5,,Y = A + B + C,0.8,0.2,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,26,False,False,True,finish_wrong,4,,Y = 10 * A + 10 * B + 3 * C,0.75,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,27,False,False,True,finish_wrong,8,,Y = 10 * B,0.75,0.375,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,28,False,False,True,finish_wrong,6,,Y = 2 * A + 2 * B + C,0.6667,0.1667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-im5k74gt-episodes:v0,run-im5k74gt-episodes,v0,29,False,False,True,finish_wrong,5,,Y = 5 * B,0.8,0.4,0.0,0.0,
