source_artifact,source_collection,source_version,run_id,success,equation_correct,finish_called,termination_reason,total_steps,steps_to_success,final_equation,state_coverage_ratio,redundancy_penalty,variable_isolation_score,discovery_efficiency,error_message
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,0,True,True,True,finish_success,1,1.0,Y = A * B,1.0,0.0,0.0,1.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,1,False,False,True,finish_wrong,9,,Y = 20.0 * (A + B),0.8889,0.6667,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,2,False,False,True,finish_wrong,6,,Y = 10.0 * A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,3,False,False,True,finish_wrong,4,,Y = 2 * (A + B),0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,4,False,False,True,finish_wrong,4,,Y = 30A + 30B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,5,False,False,True,finish_wrong,5,,Y = 2.0 * A * B,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,6,False,False,True,finish_wrong,3,,Y = 20A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,7,False,False,True,finish_wrong,6,,Y = 10A,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,8,False,False,True,finish_wrong,3,,Y = 10 * A + 5 * B,0.6667,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,9,False,False,True,finish_wrong,10,,Y = 90A + 30B,0.9,0.7,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,10,False,False,True,finish_wrong,7,,Y = 3.0 * A * B,0.8571,0.5714,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,11,False,False,True,finish_wrong,6,,Y = 30 * A * B,0.5,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,12,False,False,True,finish_wrong,4,,Y = 30A + 30B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,13,False,False,True,finish_wrong,3,,Y = A + B,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,14,False,False,True,finish_wrong,1,,Y = A + B,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,15,False,False,True,finish_wrong,6,,Y = 2 * (A + B),0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,16,False,False,True,finish_wrong,3,,Y = 10 * A,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,17,False,False,True,finish_wrong,2,,Y = 2 * B,0.5,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,18,False,False,True,finish_wrong,7,,Y = 2.0 * B,0.8571,0.7143,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,19,False,False,True,finish_wrong,4,,Y = 2B,0.75,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,20,False,False,True,finish_wrong,1,,Y = A + B,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,21,False,False,True,finish_wrong,1,,Y = 5.0 * A + 10.0 * B,1.0,0.0,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,22,False,False,True,finish_wrong,4,,Y = 30 * A * B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,23,False,False,True,finish_wrong,8,,Y = 10 * B,0.875,0.75,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,24,False,False,True,finish_wrong,4,,Y = 30*A + 3*B,0.75,0.25,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,25,False,False,True,finish_wrong,3,,Y = 2B,0.6667,0.3333,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,26,False,False,True,finish_wrong,6,,Y = (A + B) * k,0.8333,0.5,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,27,False,False,True,finish_wrong,8,,Y = 3 * A * B,0.875,0.625,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,28,False,False,True,finish_wrong,5,,Y = 2B,0.8,0.6,0.0,0.0,
leyao-li-epfl/scientific-exploration/run-499ontvs-episodes:v0,run-499ontvs-episodes,v0,29,False,False,True,finish_wrong,1,,Y = A + B,1.0,0.0,0.0,0.0,
